"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Integrating Wearable Health Technology into Patient Care: Implications for Chronic Disease Management and Preventive Health","https://scispace.com/paper/integrating-wearable-health-technology-into-patient-care-2drioloi1rfv","2024","Journal Article","Deleted Journal","Yessy Dessy Arna
Hassan Burhan
Indriati Kusumaningsih
Sri Mulyani
Endah Labati","10.59613/5rn8fm71","https://scispace.compdf/integrating-wearable-health-technology-into-patient-care-2drioloi1rfv.pdf","The integration of wearable health technology into patient care represents a transformative approach to managing chronic diseases and promoting preventive health. This article examines the potential of wearable devices, such as fitness trackers, smartwatches, and continuous monitoring sensors, to enhance patient outcomes by providing real-time data on key health indicators, including heart rate, blood pressure, physical activity, and sleep patterns. Through an analysis of current applications and advancements in wearable technology, this study assesses how these devices contribute to early disease detection, improved patient engagement, and proactive management of chronic conditions like diabetes, hypertension, and cardiovascular diseases. Findings indicate that wearable health technology supports more personalized and responsive care models, allowing healthcare providers to track patient progress remotely, adjust treatments as needed, and foster greater adherence to health interventions. Additionally, the study highlights challenges related to data privacy, interoperability, and patient adherence, underscoring the importance of addressing these issues to fully realize the potential of wearable technology in healthcare. By providing insights into the effective integration of wearable devices in clinical settings, this research offers valuable guidance for healthcare providers, policymakers, and technology developers aiming to improve chronic disease management and advance preventive healthcare strategies. ","Title: Integrating Wearable Health Technology into Patient Care: Implications for Chronic Disease Management and Preventive Health Authors: Yessy Dessy,Yessy Dessy Arna,Hesti Trisnianti Burhan,Indriati Kusumaningsih,Sri Mulyani,Endah Labati Keywords: Wearable Health Technology, Chronic Disease Management, Preventive Health, Patient Care, Healthcare Integration"
"Involvement of Human Volunteers in the Development and Evaluation of Wearable Devices Designed to Improve Medication Adherence: A Scoping Review","https://scispace.com/paper/involvement-of-human-volunteers-in-the-development-and-1qmlp1wy","2023","Journal Article","Sensors","Lívia Luize Marengo
Silvio Barberato-Filho","10.3390/s23073597","https://scispace.com/pdf/involvement-of-human-volunteers-in-the-development-and-1qmlp1wy.pdf","Wearable devices designed to improve medication adherence can emit audible and vibrating alerts or send text messages to users. However, there is little information on the validation of these technologies. The aim of this scoping review was to investigate the involvement of human volunteers in the development and evaluation of wearable devices. A literature search was conducted using six databases (MEDLINE, Embase, Scopus, CINAHL, PsycInfo, and Web of Science) up to March 2020. A total of 7087 records were identified, and nine studies were included. The wearable technologies most investigated were smartwatches (n = 3), patches (n = 3), wristbands (n = 2), and neckwear (n = 1). The studies involving human volunteers were categorized into idea validation (n = 4); prototype validation (n = 5); and product validation (n = 1). One of them involved human volunteers in idea and prototype validation. A total of 782 participants, ranging from 6 to 252, were included. Only five articles reported prior approval by a research ethics committee. Most studies revealed fragile methodological designs, a lack of a control group, a small number of volunteers, and a short follow-up time. Product validation is essential for regulatory approval and encompasses the assessment of the effectiveness, safety, and performance of a wearable device. Studies with greater methodological rigor and the involvement of human volunteers can contribute to the improvement of the process before making them available on the market.","wearable devices needs to be rapid, Farao et al. (2020) highlighted that, even in development contexts with limited resources, combining the structure of a device with development based on user-centered holistic design allows rapid improvements throughout the development process. Discussion:
 The involvement of human volunteers in the development of technological products may involve concepts such as human-centered design (HCD), design thinking (DT), and user-centered design (UCD). A review by Göttgens and Oertelt-Prigione (2021)  summarizes the application of HCD practices across various areas of health innovation. All approaches prioritized the user's needs and the participatory and iterative nature of the design process. The design processes comprised several design cycles during which multiple qualitative and quantitative methods were used in combination with specific design methods. The increasing use of design-based approaches, such as HCD, DT, and UCD in health research, subjects them to evaluation according to traditional biomedical standards. However, the analytical approach of the scientific method versus the constructive approach of the design method makes it impossible to evaluate both methods to the same standard. For the validation of design methods, a relativistic approach that increases confidence in the methods can be considered a more appropriate paradigm for design methods, particularly those that are concerned with the subjective elements of this process. Discussion:
 A multi-stakeholder workgroup from diverse backgrounds (hospital administration, clinical medicine, academia, insurance, and the commercial device industry) was convened by two of the National Institutes of Health's Big Data to Knowledge (BD2K) Centers of Excellence-the Mobilize Center at Stanford University and the Mobile-Sensor-to-Knowledge Center (MD2K)-to evaluate the clinical application of wearables and identify common features responsible for their success. Seven features were identified, including a clearly defined problem, integration into a system of healthcare delivery, technology support, personalized experience, focus on end-user experience, alignment with reimbursement models, and the inclusion of clinician champions . Discussion:
 A strength of this scoping review is the comprehensive systematic search, covering six healthcare databases and peer review in screening, study selection, and data extraction. However, some relevant studies may not have been retrieved due to the wide variety of descriptors and cross-referencing synonyms used in the indexing of studies, the dynamism of the area, and publication in specific computer science or engineering journals. Given this was a scoping review, the methodological quality of the studies reviewed was not evaluated; therefore, any inferences regarding measures of effect should be interpreted with caution. Discussion:
 In addition to the need to carry out robust trials confirming the utility of wearable devices in promoting medication adherence, several questions should be addressed in future studies: What is the magnitude of the improvement in medication adherence obtained? What are the recommended study designs and follow-up timing for effectiveness and safety assessments? Are the benefits achieved with the use of wearable devices maintained over time? Is the technology affordable, and are the costs acceptable? Discussion:
 These knowledge gaps may guide further investigations that increase confidence in the recommendation and use of wearable devices to improve medication adherence. Conclusions:
 Wearable devices have been successfully used in different clinical conditions. Through the continuous monitoring of medication use, they record and transmit data in real time and can issue alerts to users, caregivers, and/or health providers. This consistent followup, with immediate feedback, counseling, and guidance, represents a new paradigm in healthcare."
"The Influence of Wearables on Health Care Outcomes in Chronic Disease: Systematic Review","https://scispace.com/paper/the-influence-of-wearables-on-health-care-outcomes-in-2q2mx4y5","2022","Journal Article","Journal of Medical Internet Research","Graeme Mattison
Oliver J. Canfell
Douglas J. Forrester
Chelsea Dobbins
Daniel Smith
Juha Töyräs
Clair Sullivan","10.2196/36690","https://scispace.com/pdf/the-influence-of-wearables-on-health-care-outcomes-in-2q2mx4y5.pdf","Background Chronic diseases contribute to high rates of disability and mortality. Patient engagement in chronic disease self-management is an essential component of chronic disease models of health care. Wearables provide patient-centered health data in real time, which can help inform self-management decision-making. Despite the perceived benefits of wearables in improving chronic disease self-management, their influence on health care outcomes remains poorly understood. Objective This review aimed to examine the influence of wearables on health care outcomes in individuals with chronic diseases through a systematic review of the literature. Methods A narrative systematic review was conducted by searching 6 databases for randomized and observational studies published between January 1, 2016, and July 1, 2021, that included the use of a wearable intervention in a chronic disease group to assess its impact on a predefined outcome measure. These outcomes were defined as any influence on the patient or clinician experience, cost-effectiveness, or health care outcomes as a result of the wearable intervention. Data from the included studies were extracted based on 6 key themes, which formed the basis for a narrative qualitative synthesis. All outcomes were mapped against each component of the Quadruple Aim of health care. The guidelines of the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) statement were followed in this study. Results A total of 30 articles were included; studies reported 2446 participants (mean age: range 10.1-74.4 years), and the influence of 14 types of wearables on 18 chronic diseases was presented. The most studied chronic diseases were type 2 diabetes (4/30, 13%), Parkinson disease (3/30, 10%), and chronic lower back pain (3/30, 10%). The results were mixed when assessing the impact on a predefined primary outcome, with 50% (15/30) of studies finding a positive influence on the studied outcome and 50% (15/30) demonstrating a nil effect. There was a positive effect of 3D virtual reality systems on chronic pain in 7% (2/30) of studies that evaluated 2 distinct chronic pain syndromes. Mixed results were observed in influencing exercise capacity; weight; and biomarkers of disease, such as hemoglobin A1c, in diabetes. In total, 155 outcomes were studied. Most (139/155, 89.7%) addressed the health care outcomes component. This included pain (11/155, 7.5%), quality of life (7/155, 4.8%), and physical function (5/155, 3.4%). Approximately 7.7% (12/155) of outcome measures represented the patient experience component, with 1.3% (2/155) addressing the clinician experience and cost. Conclusions Given their popularity and capability, wearables may play an integral role in chronic disease management. However, further research is required to generate a strong evidence base for safe and effective implementation. Trial Registration PROSPERO International Prospective Register of Systematic Reviews CRD42021244562; https://www.crd.york.ac.uk/prospero/display_record.php?RecordID=244562","diseases. Given the potential for wearables to empower users with additional health-related data, subjective scoring systems may improve significantly using wearables, which may be reflected in health-related quality of life assessments. However, further research is required in this area. Associations Between Wearables and Outcome Measures:
 Several associations were noted between the types of wearables used and the studied outcomes. One such observation was the positive effect of 3D VR systems on pain scoring in 2 distinct chronic pain syndromes , in which both studies used sham VR as the comparator. Both publications reported minimal side effects of using these immersive systems, with specialized programs used to counter the possible effects of cybersickness (motion sickness specific to the use of VR headsets). The use of either pedometers or smartbands (eg, Fitbit devices) had mixed effects on exercise capacity, with 10% (3/30) of studies  reporting improvements in walking distance using these devices and 7% (2/30) of studies  finding no influence on this outcome. Mixed results were also observed when studying the influence of either pedometers or smartbands on weight. Kim et al  found a significant reduction in BMI through the use of a Samsung Charm fitness tracker in people with obstructive sleep apnea. This is in contrast with the findings of both Lystrup et al  (using a Fitbit Charge) and Takahashi et al  (using a pedometer)."
"Automated classification of hand gestures using a wristband and machine learning for possible application in pill intake monitoring","https://scispace.com/paper/automated-classification-of-hand-gestures-using-a-wristband-1de8f05k","2022","Journal Article","Computer Methods and Programs in Biomedicine","Sara Moccia
Sarah Solbiati
Mahshad Khornegah
F Bossi
Enrico G. Caiani","10.1016/j.cmpb.2022.106753","https://scispace.com/pdf/automated-classification-of-hand-gestures-using-a-wristband-1de8f05k.pdf","","Article Section/Category: Classification and interpretation Hand-gesture classification, monitoring medical adherence, wearable sensors, machine learning, deep learning, CNN-LSTM Hand-gesture classification, monitoring medical adherence, wearable sensors, machine learning, deep learning, CNN-LSTM Introduction:
 The remarkable improvements in healthcare of the past century have led to an increase in life expectancy. Introduction:
 Population aging is associated with the rise of chronic diseases, such as heart diseases, stroke and diabetes, which are the most frequent conditions affecting the elderly . Patients with chronic conditions require long-term care, which includes home nursing, assisted living and long-stay hospitalization. Chronic diseases further imply long-term therapy and several medicine prescriptions, posing issues relevant to poor medication adherence . The World Health Organization reports that, in developed countries, approximately 50% of patients suffering from one or more chronic diseases does not take medications as prescribed, ultimately leading to increased morbidity and mortality , as well as to increased emergency-room visits, hospitalization and hospital readmissions . Studies have shown that 26% of hospitalizations involving older adults are related to poor or wrong medication adherence . Introduction:
 This contributes in increasing the financial burden on the health care system: lack of adherence has been estimated to provoke about 125,000 deaths in the United States with associated costs for the healthcare system being between $100 billion and $289 billion per year . Introduction:
 In this complex scenario, several approaches for medication adherence monitoring have been developed, including both direct and indirect measurements. The former are based on the direct observation of medication intake, including the detection of drugs in biologic fluid (i.e., blood or urine), or the use of medications manufactured with an ingestible sensor embedded in the pill, emitting an electric signal upon digestion. These methods provide accurate estimation of adherence, but they are invasive, costly and time consuming. Conversely, indirect measurements of adherence monitoring include self-reporting, pharmacy refill rates assessment, as well as smartphone reminders applications. Requiring, in most cases, an individual's interaction, those methods lack reliability for long-term monitoring . Introduction:
 In order to attenuate such issues, electronic medication packaging devices have been proposed. Those are adherence-monitoring devices incorporated into the packaging of a prescription medication, which can record dosing events, provide audio-visual reminders for the next dose and provide feedbacks on adherence performance . Among them, the medication events monitoring systems (MEMS) are the most commonly used in medication adherence studies. MEMS include pill containers equipped with a microprocessor that registers the opening event as a possible removal of a pill . These devices are relatively cheap, easy to use, and safe. However, they can be easily deceived, as they are assuming the pill intake for every opening, thus without taking into account possible accidental actuation of the container . As an alternative solution, the use of wearable devices has been proposed."
"Harnessing Technology for Enhanced Patient Care and Monitoring","https://scispace.com/paper/harnessing-technology-for-enhanced-patient-care-and-3iy9orv16p","2023","Journal Article","Journal wetenskap health","Magaille Hodambia","10.48173/jwh.v4i4.204","https://scispace.compdf/harnessing-technology-for-enhanced-patient-care-and-3iy9orv16p.pdf","This study looks into how individuals with chronic illnesses' levels of physical activity are affected by wearable health monitoring devices. We looked at participant demographics, health status, and physical activity information throughout an eight-week period using a quantitative method. The findings show that wearing wearable technology is positively correlated with higher levels of physical activity. Our results support previous studies by highlighting the usefulness of wearables in encouraging behavior modification. Notably, the study offers a deeper picture of wearable device adoption by contributing information regarding health problems and demographic characteristics. The ramifications for the practice of medicine indicate that include wearables in care plans could improve patient interventions for chronic illnesses. While acknowledging study limitations, the overall conclusion supports the The general conclusion acknowledges the limits of the study but affirms the revolutionary role that wearable technology will play in reshaping healthcare, improving patient outcomes, and encouraging proactive health management. ","comparable populations. Discussion: Additionally, the distribution of employment statuses shows a sizable portion of participants who are employed. This observation is consistent with research by , who found that employer-sponsored wellness programs led to a rise in wearable device uptake among employed individuals. Discussion:
 It is clear that the inclusion of wearable technology in the workplace has aided in the diversity of our participant base. Discussion:
 The participants' health status distribution offers important background information for analyzing the ensuing physical activity data. Our research, which focuses on long-term health issues such diabetes, cardiovascular disease, and hypertension, is in line with the emphasis on wearable technology applications in controlling these disorders . Discussion:
 The distribution closely matches the results of , who found that, in a population that was similar, the prevalence rates of chronic illnesses were identical. One significant finding is the observed rise in mean physical activity levels over the course of the study. Discussion:
 This is consistent with the beneficial effects of earlier research on the role that wearable technology plays in encouraging physical activity. According to , participants who used wearable devices for health monitoring reported significantly higher step counts. Discussion:
 This finding supports the notion that ongoing surveillance and feedback motivate people to move more. Discussion:
 Our study shows a comparable rate of improvement when compared to , who looked into how wearable technology affected physical activity in a similar patient population. But by extending the monitoring period to eight weeks, our study was able to provide a more detailed picture of the long-lasting impacts. Discussion:
 The participants who used wearable devices and reported a progressive increase in physical activity are in agreement with the mean levels of physical activity at different time points in our study. Discussion:
 In contrast, our study provides a more thorough assessment of the heterogeneity within the participant group by outlining the minimum and highest activity levels. Discussion:
 Our results support the beneficial effects of wearable health monitoring devices on physical activity that have been shown in a number of research studies. Discussion:
 The step count improvements show consistent patterns that are in line with the meta-analysis that was done to show how effective wearable technology is overall at encouraging physical activity in a variety of demographics. Discussion:
 It is imperative to recognize that disparities in reported results could be caused by discrepancies in study designs and methodology. For example, whereas our research concentrated on chronic illnesses, other studies included larger participant groups, which would have affected the size of the changes that were seen. Discussion:
 Subtle discrepancies in reported outcomes may also be caused by changes in the types of wearable devices utilized and the functionality they provide. Discussion:
 Notwithstanding the encouraging results, it is critical to recognize the limits of our research. The limited generalizability of our findings is a consequence of the single-arm design and the very small sample size. Discussion:
 To improve the robustness of results, future studies could make use of bigger sample sizes and randomized controlled trials. Furthermore, Examining if higher physical activity levels can be sustained over an eight-week period would shed light on the long-term effects of wearable health monitoring technology. Discussion:
 In summary, our research offers important new understandings into how wearable health monitoring technologies affect patients' physical activity levels who have long-term medical issues. The encouraging patterns identified are consistent with earlier studies, highlighting the devices' potential to encourage changes in health-related behavior."
"Standardizing Patient Generated Sleep and Step Data for Evidation Health","https://scispace.com/paper/standardizing-patient-generated-sleep-and-step-data-for-3qiaxobo1h","2021","","","Jade DeSmet
Monroe Erle
Jamie Cullen","","https://scispace.com/pdf/standardizing-patient-generated-sleep-and-step-data-for-3qiaxobo1h.pdf","","widespread use of wearable activity monitors in clinical practice. Further research using them with both sick and healthy populations must be done. Also, long term consistent use of wearable monitors has not been done yet, and the effectiveness of this has not been proven. Future Challenges:
 There are also barriers of implementation in both the healthcare system and the wearable technologies industry that need to be addressed . Within the healthcare system, the model of care and sharing information among healthcare providers must be altered to allow collaboration in the process of development and implementation of wearable devices in healthcare. Methods must be created that allow wearables data to be incorporated into the electronic health record. There is also a challenge in finding the best ways to incorporate these devices into clinical practice and workflows, without increasing workload and the cost of healthcare services. For wearable technology developers, their task is to create easily integratable and effective solutions to be utilized efficiently in healthcare practices. The ability to analyze and use the collected data will largely determine the clinical utility of wearable devices. Models such as the standardized one created in this project will be key in the future of the usefulness of wearable devices."
"Determinants of Longitudinal Adherence in Smartphone-Based Self-Tracking for Chronic Health Conditions: Evidence from Axial Spondyloarthritis","https://scispace.com/paper/determinants-of-longitudinal-adherence-in-smartphone-based-2n8zqa72lw","2021","Journal Article","","Simon Jones
William Hue
Ryan Kelly
Rosemarie Barnett
Violet Henderson
Raj Sengupta","10.1145/3448093","https://scispace.com/pdf/determinants-of-longitudinal-adherence-in-smartphone-based-2n8zqa72lw.pdf","The use of interactive mobile and wearable technologies for understanding and managing health conditions is a growing area of interest for patients, health professionals and researchers. Self-tracking technologies such as smartphone apps and wearable devices for measuring symptoms and behaviours generate a wealth of patient-centric data with the potential to support clinical decision making. However, the utility of self-tracking technologies for providing insight into patients' conditions is impacted by poor adherence with data logging. This paper explores factors associated with adherence in smartphone-based tracking, drawing on two studies of patients living with axial spondyloarthritis (axSpA), a chronic rheumatological condition. In Study 1, 184 axSpA patients used the uMotif health tracking smartphone app for a period of up to 593 days. In Study 2, 108 axSpA patients completed a survey about their experience of using self-tracking technologies. We identify six significant correlates of self-tracking adherence, providing insight into the determinants of tracking behaviour. Specifically, our data provides evidence that adherence correlates with the age of the user, the types of tracking devices that are being used (smartphone OS and physical activity tracker), preferences for types of data to record, the timing of interactions with a self-tracking app, and the reported symptom severity of the user. We discuss how these factors may have implications for those designing, deploying or using mobile and wearable tracking technologies to support monitoring and management of chronic diseases.","Title: Determinants of Longitudinal Adherence in Smartphone-Based Self-Tracking for Chronic Health Conditions: Evidence from Axial Spondyloarthritis Authors: Simon L Jones,William Hue,Ryan M Kelly,Rosemarie Barnett,Violet Henderson,Raj Sengupta Keywords: personal informatics, self-tracking, healthcare, chronic conditions, rheumatic disease, smartphones, wearable devices, self-report, engagement, adherence"
"Wearable Health Devices in Health Care: Narrative Systematic Review","https://scispace.com/paper/wearable-health-devices-in-health-care-narrative-systematic-2f964x4hzh","2020","Journal Article","Jmir mhealth and uhealth","Lin Lu
Jiayao Zhang
Yi Xie
Gao Fei
Song Xu
Xinghuo Wu
Zhewei Ye","10.2196/18907","https://scispace.com/pdf/wearable-health-devices-in-health-care-narrative-systematic-2f964x4hzh.pdf","Background: With the rise of mobile medicine, the development of new technologies such as smart sensing, and the popularization of personalized health concepts, the field of smart wearable devices has developed rapidly in recent years. Among them, medical wearable devices have become one of the most promising fields. These intelligent devices not only assist people in pursuing a healthier lifestyle but also provide a constant stream of health care data for disease diagnosis and treatment by actively recording physiological parameters and tracking metabolic status. Therefore, wearable medical devices have the potential to become a mainstay of the future mobile medical market.
Objective: Although previous reviews have discussed consumer trends in wearable electronics and the application of wearable technology in recreational and sporting activities, data on broad clinical usefulness are lacking. We aimed to review the current application of wearable devices in health care while highlighting shortcomings for further research. In addition to daily health and safety monitoring, the focus of our work was mainly on the use of wearable devices in clinical practice.
Methods: We conducted a narrative review of the use of wearable devices in health care settings by searching papers in PubMed, EMBASE, Scopus, and the Cochrane Library published since October 2015. Potentially relevant papers were then compared to determine their relevance and reviewed independently for inclusion.
Results: A total of 82 relevant papers drawn from 960 papers on the subject of wearable devices in health care settings were qualitatively analyzed, and the information was synthesized. Our review shows that the wearable medical devices developed so far have been designed for use on all parts of the human body, including the head, limbs, and torso. These devices can be classified into 4 application areas: (1) health and safety monitoring, (2) chronic disease management, (3) disease diagnosis and treatment, and (4) rehabilitation. However, the wearable medical device industry currently faces several important limitations that prevent further use of wearable technology in medical practice, such as difficulties in achieving user-friendly solutions, security and privacy concerns, the lack of industry standards, and various technical bottlenecks.
Conclusions: We predict that with the development of science and technology and the popularization of personalized health concepts, wearable devices will play a greater role in the field of health care and become better integrated into people’s daily lives. However, more research is needed to explore further applications of wearable devices in the medical field. We hope that this review can provide a useful reference for the development of wearable medical devices.","technologies, including sensor technology, medical chip technology, wireless communication technology, power management technology, display technology, and information feedback technology . Real-time medical data from these devices are transmitted to the internet for further analyses or feedback from a health care provider. Objectives:
 The development of wearable sensors in the health care market has been relatively slow, despite wearable devices having emerged as a major part of lifestyle and fitness markets. However, the advancement of wearable sensor technology provides enormous opportunities for deployment in health care, especially in connected health care and precision medicine, in which wearable devices can achieve high-quality, real-time measurement of personal health. Although previous reviews have discussed consumer trends in wearable electronics and the application of wearable technology in recreational and sporting activities, data on broad clinical usefulness are lacking. This study reviews the current application of wearable devices in health care. In addition to daily health and safety monitoring, the focus of our work is mainly on the use of wearable devices in clinical practice. We also emphasize their current shortcomings and suggest directions for further research. Design:
 A systematic review design with narrative methods was used to analyze the existing evidence. Specifically, a review methodology  was carried out to clarify the types of wearable devices and the current status of their use in health care settings. Search Strategy:
 We conducted a comprehensive literature search on January 2, 2020. The following electronic databases were searched with the assistance of an information specialist at the medical library: PubMed, EMBASE, Scopus, and the Cochrane Library. The review was limited to texts published in English between 2015 and 2019 for which abstracts were available. These publication years were chosen due to a dramatic improvement in information technology during that period. The review was also limited to studies of wearable devices in the health care domain. The initial search terms were the following: wearable devices AND health care, wearable technology AND health care, sensor AND wearable AND health care, and wearable AND track AND health care. After reviewing the literature identified through these search terms, we added the search terms monitoring, diseases management, diagnosis OR treatment, and rehabilitation to capture relevant studies found in the references of the papers retrieved from the initial search. Inclusion and Exclusion Criteria:
 A total of 960 search results were screened for relevance using titles and abstracts, and 82 papers were fully reviewed and are discussed in this study. Inclusion and Exclusion Criteria:
 Inclusion research criteria were (1) trials including randomized clinical trials and quasi-experimental studies that have proven the effectiveness of wearable devices; (2) studies focusing on clinical applicability; (3) studies published in peer-reviewed journal in English; (4) studies describing completed research; and (5) studies described in full-text papers. There was no restriction on the location of the studies; therefore, international studies written in English were eligible. Exclusion criteria were papers describing the process of the wearable device design, theoretical papers, books or book chapters, letters, statistical reviews, perspectives, dissertations, editorials, and study protocols."
"Big data and chronic disease management through patient monitoring and treatment with data analytics","https://scispace.com/paper/big-data-and-chronic-disease-management-through-patient-5gbkg3dvm2nx","2024","Journal Article","","M. A. Alam
Amir Sohel
M. M. Uddin
Amir Siddiki","10.69593/ajaimldsmis.v1i01.133","https://scispace.compdf/big-data-and-chronic-disease-management-through-patient-5gbkg3dvm2nx.pdf","This systematic review investigates the role of predictive analytics in chronic disease management, focusing on its capacity to predict disease progression, reduce hospitalizations, and enhance patient outcomes. A total of 35 peer-reviewed articles were analyzed to evaluate how predictive models, utilizing data from electronic health records (EHRs), wearable devices, and real-time monitoring systems, are applied in managing chronic diseases such as diabetes and cardiovascular conditions. The findings indicate that predictive models have significantly improved early disease detection accuracy, with studies showing improved forecasting of heart failure exacerbations and notable reductions in hospital readmissions due to timely interventions. Additionally, many studies reported a reduction in healthcare utilization through predictive analytics-driven early interventions. However, challenges regarding data quality and model accuracy were frequently cited, particularly concerning data integration and harmonization across various healthcare systems. Ethical and privacy concerns, including data security and algorithmic bias, were also highlighted, underscoring the need to address these issues for responsible and equitable use of predictive analytics. This review affirms the growing impact of predictive analytics in chronic disease management, while calling for advancements in data management and ethical frameworks to maximize its potential. ","Title: ACADEMIC JOURNAL ON BUSINESS ADMINISTATION, INNOVATION & SUSTAINABILITY Authors: Ashraful Alam,Md Ashraful Alam,Amir Sohel,Mohammed Majbah Uddin,Amir Siddiki Keywords: Big Data, Chronic Disease, Patient Monitoring, Data Analytics, Personalized Treatment Introduction:
 Chronic disease management is a critical aspect of healthcare systems worldwide, especially with the increasing prevalence of long-term conditions such as diabetes, cardiovascular diseases, and hypertension . Introduction:
 According to the World Health Organization , chronic diseases are responsible for nearly 71% of global deaths, with a significant portion of these attributed to noncommunicable diseases . Managing such conditions requires constant monitoring and tailored interventions to mitigate their impact on patients' health . Introduction:
 Traditionally, healthcare providers have relied on intermittent data collection through in-person visits, limiting their ability to respond to changes in patient conditions in real-time . However, the advent of big data analytics is transforming chronic disease management by enabling continuous monitoring and personalized care plans . Introduction:
 By harnessing data from diverse sources such as electronic health records (EHRs), wearable devices, and telemedicine platforms, healthcare providers can track patient progress and make informed decisions based on predictive models and real-time analytics . Introduction:
 Big data analytics, defined as the process of analyzing large and complex datasets to uncover hidden patterns, correlations, and insights, is reshaping healthcare delivery. Introduction:
 The application of big data in chronic disease management has gained momentum due to its ability to aggregate, analyze, and interpret vast amounts of patient data collected over time . This approach enables the identification of trends in disease progression, prediction of potential complications, and the personalization of treatment plans. Introduction:
 For instance, a study by  demonstrated that predictive analytics based on big data can significantly reduce hospital readmission rates for patients with heart failure by identifying early warning signs of deterioration. Introduction:
 The ability to predict health outcomes with high accuracy allows healthcare providers to intervene proactively, thus reducing the burden on healthcare systems and improving patient quality of life . Introduction:
 Wearable devices and other digital health technologies are pivotal in enabling real-time monitoring of chronic disease patients, producing large volumes of data that can be analyzed for actionable insights . Introduction:
 Wearables such as smartwatches and continuous glucose monitors collect data on vital signs, physical activity, and blood glucose levels, which can be analyzed to identify patterns and trigger alerts when abnormal readings are detected . Introduction:
 This real-time data, when integrated with EHRs and analyzed through big data algorithms, allows for continuous patient surveillance without the need for frequent hospital visits . Introduction:
 A study by  found that the use of wearable technology in diabetes management led to a 30% improvement in patient adherence to treatment protocols and a 20% reduction in hospital admissions. Introduction:
 This highlights the transformative potential of wearable technology, particularly when combined with big data analytics to optimize chronic disease management . Furthermore, the integration of big data analytics into chronic disease management not only enhances treatment but also promotes personalized healthcare. Introduction:
 Personalized healthcare refers to the customization of medical treatment based on individual characteristics, including genetics, environment, and lifestyle . Introduction:
 Big data enables the analysis of these factors alongside clinical data to tailor interventions that are specific to the patient's unique  ) noted that data-driven personalized treatment approaches for managing hypertension resulted in better control of blood pressure compared to traditional, one-size-fits-all methods."
"Surface Chemistry-Enhanced Wearable Biosensors: A Novel Approach for Non-Invasive Continuous Health Monitoring","https://scispace.com/paper/surface-chemistry-enhanced-wearable-biosensors-a-novel-cgmjga03gk9u","2024","Journal Article","International journal of social sciences and public administration","Zhuo Chen","10.62051/ijsspa.v5n1.21","https://scispace.compdf/surface-chemistry-enhanced-wearable-biosensors-a-novel-cgmjga03gk9u.pdf","With the rise of health concerns in recent years, wearable biosensors have gained widespread attention as an important technology for health monitoring. It can monitor human physiological indicators such as blood glucose and lactate. This type of monitoring does not require complex operations or frequent sampling and is non-invasive and capable of real-time monitoring. Chemically modified electrochemical biosensors have further improved the sensitivity and selectivity of monitoring and have the potential for a wider range of applications. In this paper, we will explore the application of surface chemically enhanced wearable sensors for non-invasive health monitoring and their future directions. ","WEARABLE SENSORS: Continuous monitoring can also aid in early detection of complications, enhancing overall disease management. With real-time data transmission through wireless technology, these sensors enable physicians to remotely track patients' health and make timely adjustments to treatment plans. APPLICATION PROSPECTS OF WEARABLE SENSORS:
 This connectivity enhances patient care by facilitating proactive and personalized management of chronic conditions. Literature mentions that such non-invasive, continuous monitoring wearable devices will help improve the accuracy of chronic disease management. CONCLUSION:
 While wearable electrochemical sensors hold significant promise for health monitoring, several challenges must be addressed to improve their effectiveness and broaden their use. Although surface chemical enhancement has greatly improved sensor sensitivity, enhancing selectivity in complex biological environments remains a key research focus. CONCLUSION:
 Future research can make sensors more accurate in detecting specific biomarkers by introducing more functional nanomaterials or multilayer surface modification techniques. CONCLUSION:
 Wearable sensors need to be in contact with the skin for a long period of time and work under various environmental conditions, so their long-term stability and durability are especially critical. Cited in the literature! CONCLUSION:
 mentions that many current electrochemical sensors suffer from sensitivity degradation after a period of time, mainly due to biological contamination or aging of surface modification materials. CONCLUSION:
 Therefore, the development of more durable surface modification materials and self-cleaning mechanisms will be an important direction to enhance the performance of sensors in the future. Currently, most wearable sensors rely on battery power, and continuous monitoring over a long period of time will place higher demands on energy consumption. CONCLUSION:
 To address this issue, future research could explore self-powered technologies such as friction electric nanogenerators (TENG) or biofuel cells that utilize chemical energy from human movement or body fluids to power sensors. Self-powered designs could significantly extend sensor battery life, minimizing the need for replacements. CONCLUSION:
 At the same time, as wearable sensors have already collected amounts of health data. They efficiently process this information to deliver personalized health recommendations, which has become a major challenge. CONCLUSION:
 Future directions include integrating artificial intelligence (AI) and machine learning (ML) technologies into sensor systems to enable intelligent analysis and real-time feedback of health data. CONCLUSION:
 In addition, through 5G communication technology and cloud computing, sensors can be seamlessly connected to telemedicine platforms to provide more personalized and intelligent health management services."
