"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Study Design and Population","Key Findings on Adherence Accuracy or Outcomes","Limitations and Gaps"
"Clinical Effectiveness of Wearable Technologies in Chronic Disease Management: Evidence from CaseBased Evaluation and Real-World Applications","https://scispace.com/paper/3RWcCA3sOPMJ","","","","S Chatterjee
M Sriparna
A Saba","","https://www.ijmhr.com/index.php/ijmhr/article/download/31/63","- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses hypertension‑focused wearables to monitor disease, reports usage rates and compliance, validates sensor readings against standards, but outcome data span limited follow‑up rather than multi‑year results.","","The study evaluates clinical outcomes and patient adherence through case-based evaluation and real-world applications. It specifically includes hypertension management using wearable fitness trackers.","The work evaluates clinical outcomes and patient adherence related to wearable technologies. It reports on usage rates and compliance, and validates sensor readings against standards. However, outcome data span limited follow-up rather than multi-year results. The paper also addresses device accuracy and data reliability, using hypertension management as a case study with wearable fitness trackers.","Outcome data span limited follow-up rather than multi-year results. The work evaluates clinical outcomes, patient adherence, and issues related to device accuracy, data reliability, and integration."
"The use of wearable devices in chronic disease management to enhance adherence and improve telehealth outcomes: A systematic review and meta-analysis.","https://scispace.com/paper/the-use-of-wearable-devices-in-chronic-disease-management-to-20d0qngb37","2020","Journal Article","Journal of Telemedicine and Telecare","Tomoko Kamei
Takuya Kanamori
Yuko Yamamoto
Sisira Edirippulige","10.1177/1357633X20937573","","- **Relevance Score:** 72/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses wearables as core intervention for chronic diseases; reports adherence rates and engagement metrics; lacks detailed sensor validation; includes meta‑analysis of outcomes over months to years.","IntroductionWearable device (WD) interventions are rapidly growing in chronic disease management; nevertheless, the effectiveness of these technologies to monitor telehealth outcomes has not been a...","This paper is a systematic review and meta-analysis. It focuses on chronic disease management, specifically using wearable devices for COPD to enhance telehealth outcomes, and for people with DM (Diabetes Mellitus) and CD (Chronic Disease) with educational support.","Evidence supports the use of wearable devices (WD) for COPD to enhance telehealth outcomes for disease management. For individuals with diabetes mellitus (DM) and chronic disease (CD), WD with educational support can enhance support beyond usual care. The paper focuses on the effectiveness of these technologies to monitor telehealth outcomes.","The metadata indicates that the effectiveness of wearable devices to monitor telehealth outcomes has not been systematically reviewed. The tldr suggests evidence supports wearable devices for COPD to enhance telehealth outcomes and for DM and CD with educational support, implying a potential gap in broader applications or without educational support."
"Wearable Devices in Remote Cardiac Rehabilitation With and Without Weekly Online Coaching for Patients With Coronary Artery Disease: Randomized Controlled Trial.","https://scispace.com/paper/40395066","2025","Journal Article","JMIR mHealth and uHealth","Nishio
Dohi
Yokoyama
Nakade
Takahashi
Chikata
Endo
Nishiyama
Okai
Iwata
Okazaki
Miyauchi
Daida
Minamino","10.2196/63797","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12088619/pdf","- **Relevance Score:** 67/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses wearables to support cardiac rehab for CAD, reports adherence metrics and several months of outcome data, but does not evaluate sensor accuracy.","Cardiac rehabilitation (CR) is effective in preventing cardiovascular diseases; however, participation in CR programs remains limited due to the associated challenges. The integration of wearable devices and real-time monitoring offers a potential solution to enhance adherence to remote CR programs and their outcomes.","The study design is a Randomized Controlled Trial. The target population is patients with Coronary Artery Disease, specifically focusing on remote cardiac rehabilitation.","The abstract states that wearable devices and real-time monitoring offer a potential solution to enhance adherence to remote cardiac rehabilitation programs and their outcomes. The relevance metadata indicates ""Adherence assessment: Highly Relevant"" and ""Long-term health outcomes: Highly Relevant."" However, specific quantitative results for adherence, sensor accuracy, or long-term outcomes are not detailed in the abstract or other provided metadata fields. The paper does not evaluate sensor accuracy.","The abstract notes that participation in cardiac rehabilitation programs remains limited due to associated challenges. The paper's relevance metadata indicates it ""does not evaluate sensor accuracy,"" highlighting a device validation issue."
"Wearable Tech and Chronic Disease Management: An Interdisciplinary Study of Bioengineering, Data Analytics, and Patient Psychology","https://scispace.com/paper/wearable-tech-and-chronic-disease-management-an-96zezxshjmsf","2025","Journal Article","","Mr. S. Ranganathan","10.65180/ijemri.2025.1.1.05","https://scispace.compdf/wearable-tech-and-chronic-disease-management-an-96zezxshjmsf.pdf","- **Relevance Score:** 60/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses wearables to manage diabetes and cardiovascular disease; reports improved compliance and reduced hospital visits; lacks sensor validation data; outcome data limited to short‑term observations.","The transformation of chronic disease management owes much to how wearable technology lets users watch over their health all day, provide timely assistance and receive personalized attention. The combined approach investigates how bioengineering, data analytics and understanding the psychology of patients are essential to effectively using wearables to manage diabetes, cardiovascular disease and many other illnesses. Bioengineering research has made it possible to create sensors that track important state measures comfortably and accurately. Data analytics, using machine learning, helps make sense of a lot of health data to identify when someone’s symptoms or risks may change, so healthcare can take action ahead of time. At the same time, understanding patient psychology helps drive adherence, strong involvement and appropriate behavior changes which determines the success of adopting these devices. Analysis of data from 150 patients together with interviews of patients, clinicians and bioengineers found that using wearables led to better symptom management, more compliance with medications and fewer visits to the hospital. Even so, data privacy, how easy it is to use technology and mental barriers are areas that deserve attention. The authors suggest a model that links engineering, data science and psychological approaches to better control chronic diseases through wearable technology. The findings support working together to create healthcare technology that is useful for both people and the technical side. ","The study involved watching 150 patients with chronic illnesses for six months using special wearable devices. This observational approach included processing physical and blood level data, activity, and medication use. The study focused on managing diabetes, cardiovascular disease, and other illnesses.","Analysis of data from 150 patients found that using wearables led to better symptom management, more compliance with medications, and fewer hospital visits. Wearables helped accurately record symptoms, cutting hospital admissions by 20%. People using simple devices felt more capable and interested in managing their health. However, psychological resistance due to privacy concerns and feeling constantly watched was noted.","The study's limitations include a modest sample size, hindering generalizability, and limited statistical analysis. Its short duration might not reveal long-term psychological phenomena. Results could be biased due to participant self-reporting. Challenges also arise from integrating diverse devices and software, and concerns about error in methods used."
"IOT-Enabled Smart Healthcare: Developing Predictive Models for Chronic Disease Management Using Wearable Sensors","https://scispace.com/paper/iot-enabled-smart-healthcare-developing-predictive-models-24h3lgojiged","2024","Journal Article","International Journal For Science Technology And Engineering","Diwakar Ramanuj Tripathi
Sufiyan Ahmad Ahmad
Arsalan Danish","10.22214/ijraset.2024.64513","","- **Relevance Score:** 60/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses IoT wearables and neural‑network predictions to manage chronic disease, reports usage frequency and reduced hospital admissions, but provides limited adherence analysis, no sensor‑accuracy validation, and lacks extended follow‑up data.","Abstract: Real-time monitoring and prediction models will be used to assess the efficiency of the IoT-enabled smart healthcare solutions in managing chronic diseases. From this study, in addition to the quantitative data, including the performance of the model, patient engagement, and cost savings, qualitative information obtained from the patients and healthcare professionals will be employed using a mixed-methods research approach. This collected rich data from surveys, performance measurements, real-time monitoring data, and cost analyses with 50 health professionals and 200 chronic disease patients. The results of the study indicate that predictive models, more particularly the Neural Network, enhanced the ability to identify cases of chronic illness with an accuracy of 92.4%. Extremely high patient satisfaction rates: 9.0 out of 10. Real-time monitoring shows hospital admissions falling by as much as 50% among those suffering with respiratory disease. Cost-benefit analysis also documented financial sustainability, with overall annual cost reduction at 43.3%. Soon after implementation, usage metrics also revealed that the average user uses it three times a day, while patient-provider interactions increased by 150%. This study highlights how IoT technologies would benefit patients' clinical conditions, improve chronic disease management, and save healthcare expenses. ","The study utilized a mixed-methods research approach, combining quantitative data from performance measurements, real-time monitoring, and cost analyses with qualitative information from surveys. The target population included 200 chronic disease patients and 50 healthcare professionals, focusing on chronic disease management.","Predictive models, particularly Neural Networks, achieved 92.4% accuracy in identifying chronic illness cases. Real-time monitoring led to a 50% reduction in hospital admissions for respiratory disease patients. Patient satisfaction was 9.0 out of 10, and overall annual cost reduction was 43.3%. The average user utilized the system three times a day, increasing patient-provider interactions by 150%.","Not available in metadata."
"Utilization of wearable technology data in chronic disease management","https://scispace.com/paper/utilization-of-wearable-technology-data-in-chronic-disease-1blgdt5wur9r","2022","Journal Article","World Journal Of Advanced Research and Reviews","O.O.A. Oni
Topeola Balkis Awofala","10.30574/wjarr.2022.16.3.1208","","- **Relevance Score:** 57/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Reviews wearable tech for chronic disease, highlights compliance and accuracy issues, but provides no quantitative adherence data, sensor validation, or longitudinal outcome results.","Chronic diseases such as diabetes and cardiovascular disease pose significant challenges for patients and healthcare systems around the globe. The advent of wearable technology, capable of monitoring vital health metrics such as glucose levels and heart rate in real-time, presents transformative possibilities for managing these conditions. This paper thoroughly explores the effectiveness of wearable devices in enhancing patient outcomes, emphasizing the role of continuous monitoring and timely interventions that these technologies facilitate. Additionally, it examines the critical aspects of patient compliance and engagement, highlighting how the design and functionality of wearable devices influence long-term use and adherence. The discussion extends to the integration challenges of these devices within existing healthcare frameworks, focusing on data privacy, accuracy, and the need for robust data management systems. The paper also considers the broader implications of wearable technology, suggesting that beyond individual patient management, these devices hold potential for large-scale health data analysis and policy-making, ultimately guiding future research directions to maximize their benefits in chronic disease management. This comprehensive examination not only underscores the capabilities of wearable technology but also maps out the necessary advancements and policy adjustments required to fully integrate these innovative tools into mainstream healthcare practices. ","This study explores the effectiveness of wearable technology in managing chronic diseases such as diabetes and cardiovascular disease. It emphasizes continuous monitoring, patient compliance, and data integration. The paper examines the role of these devices in enhancing patient outcomes and considers challenges like data privacy and integration into healthcare frameworks.","The paper explores the effectiveness of wearable devices in enhancing patient outcomes, emphasizing continuous monitoring and timely interventions. It examines critical aspects of patient compliance and engagement, highlighting how device design and functionality influence long-term use and adherence. The study also considers the broader implications for large-scale health data analysis and policy-making, guiding future research directions to maximize benefits in chronic disease management. No specific quantitative results on adherence, accuracy, or outcomes are provided.","The paper highlights integration challenges within healthcare frameworks, specifically focusing on data privacy, accuracy, and the need for robust data management systems. It also emphasizes the need for necessary advancements and policy adjustments to fully integrate these innovative tools into mainstream healthcare practices, guiding future research directions to maximize benefits."
"IOT and Wearable Technology in Patient Monitoring: Business Analytics Applications for Real-Time Health Management","https://scispace.com/paper/iot-and-wearable-technology-in-patient-monitoring-business-xov1ibfm40j1","2025","Journal Article","The American journal of engineering and technology","Maham Saeed
Krishnendu Roy
Kami Yangzen Lama
May Azzawi
Yeasin Arafat","10.37547/tajet/volume07issue08-18","https://scispace.compdf/iot-and-wearable-technology-in-patient-monitoring-business-xov1ibfm40j1.pdf","- **Relevance Score:** 55/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Provides six‑month IoT wearable study with compliance data and health metrics, but lacks disease‑specific focus and rigorous accuracy validation.","The intersection of the Internet of Things (IoT) and wearable devices is transforming patient monitoring because they allow the provision of data-driven, uninterrupted, and remote healthcare services. The paper examines real-time health management and decision-making clinical and operational situations on how these technologies, combined with business analytics frameworks, can improve real-time health management and decision-making. Carrying out a synthesis of the current breakthroughs and large-scale deployments throughout the worldwide health system, the paper explores the operational synergy of smart medical devices and analytical platforms in care outcome optimization, response time decrease, and resource utilization. This study employs a data-driven observational study design to analyze high-frequency physiological measurements recorded by wearable sensors and connected medical devices in a range of chronic and acute care conditions. business analytics tools are applied to the collected data in order to isolate actionable business insights, spot anomalies, and enable predictive risk modelling. The study methodology focuses on real-time data capture, patient stratification and cross-sectional system performance measures assessment. The results indicate a considerable positive shift in early intervention abilities, patient adherence, and operational effectiveness, proving that real-time analytics based on IoT-connected wearables can decrease the number of hospitalizations and fine-tune treatment plans. Another influential obstacle pointed out in the study is data privacy, device interoperability, and the digital divide. The study has its contribution to the emerging domain of healthcare informatics, as it presented a scalable and replicable model of implementing IoT and analytics in patient monitoring. It meets the existing literature gaps by uniting the technological, clinical, and business standpoints and offering practical insights that can be used by health IT leaders, policymakers, and clinicians who want to transform the care delivery models using smart and data-driven solutions. ","This study employed a data-driven observational study design to analyze high-frequency physiological measurements. It focused on a range of chronic and acute care conditions, including diabetes, cardiovascular disease, respiratory disorders, and conditions requiring post-operative treatment. The study involved 1,200 patients across four healthcare facilities.","Key findings include 76.2% of study participants showed consistent wearable use. Adherence was highest (83.5%) in 25-44 year-olds and lowest (58.9%) in those 65 and older. Predictive analytics models achieved 91.4% average accuracy in identifying clinical deterioration, with 94.8% sensitivity and 89.1% specificity for blood glucose fluctuation. IoT-enabled monitoring reduced hospital readmissions by 40.7% and emergency visits by 28.5%, leading to an average cost saving of $5,920 per patient.","The main limitations include device heterogeneity affecting data accuracy and interoperability, a six-month monitoring period insufficient for long-term health outcomes, skewed demographics with low adherence in older populations, and lack of disaggregated data for equity analysis. Technical hitches, data governance issues, and regulatory constraints also present challenges."
"The role of smartwatch technology in the provision of care for type 1 or 2 diabetes mellitus or gestational diabetes: systematic review","https://scispace.com/paper/EJh7QTtF6hIJ","","","","SD Alvarez
A Fellas
K Wynne
D Santos","","","- **Relevance Score:** 49/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Systematic review focuses on smartwatches for diabetes care, detailing device roles and citing adherence and accuracy studies, but provides limited original data on long‑term outcomes.","","This paper is a systematic review. It focuses on the role of smartwatch technology in the provision of care for type 1 diabetes mellitus, type 2 diabetes mellitus, or gestational diabetes. The study investigates how smartwatches can increase compliance of self-monitoring with the aim of improving long-term outcomes for individuals with these conditions.","The systematic review indicates smartwatches have the potential to increase compliance of self-monitoring with the aim of improving long-term outcomes for diabetes. However, the relevance data suggests that adherence assessment and accuracy evaluation are only ""Partially Relevant,"" and long-term health outcomes are of ""Low Relevance"" in the paper's focus. The snippet mentions specific apps like Grab Manager and Diabetes Tracker but notes ""none have"" further details.","The systematic review provides limited original data on long-term outcomes. While it details device roles and cites adherence and accuracy studies, it lacks substantial original data regarding long-term health outcomes."
"Wearable technologies in health monitoring: effectiveness in preventing lifestyle diseases","https://scispace.com/paper/wearable-technologies-in-health-monitoring-effectiveness-in-1vdvr5pi125x","2026","Journal Article","International Journal of Innovative Technologies in Social Science","Dagmara Gładysz
Joanna Barwacz
Magdalena Adamik
Marta Czarnowska
Radosław Sciepuro
Agnieszka Zaleszczyk","10.31435/ijitss.1(49).2026.4778","","- **Relevance Score:** 49/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses CGM and activity wearables to address diabetes and lifestyle disease management; reports adherence challenges and accuracy barriers from reviewed RCTs; lacks original long‑term outcome data.","Research objectives: This comprehensive systematic review and meta-analysis aims to critically evaluate the clinical evidence on the effectiveness, feasibility, and cost-effectiveness of wearable technologies in health monitoring and the prevention of lifestyle diseases between 2020 and 2024. 
The study focuses on two main pillars of innovation: devices for monitoring physical activity and health parameters (smartwatches, fitness bands, continuous glucose monitors) and artificial intelligence (AI)-based data analysis systems that enable early risk detection and personalization of health interventions. 
In addition, the review analyzes the ethical, legal, social, and implementation (ELSI) barriers that must be overcome to enable the large-scale implementation of wearable technologies in healthcare systems. 
Methods: A scoping review of scientific literature was conducted in databases including PubMed, Scopus, and Google Scholar, using inclusion criteria that included randomized controlled trials (RCTs), systematic reviews, and meta-analyses published from January 2020 to July 2024. 
Seven key meta-analyses and twenty RCTs were analyzed in detail, focusing on effect sizes (Hedges' g, standardized mean difference - SMD), adherence rates, and impact on clinical endpoints. The risk of systematic error and regulatory frameworks were also assessed. 
Main results: Wearable technologies showed moderate to high effectiveness in monitoring health parameters and modifying health-related behaviors. A meta-analysis of interventions using wearable devices to monitor physical activity showed a statistically significant increase in the number of steps per day (weighted mean difference: 1519 steps/day, 95% CI 1096-1942) and moderate to large effect sizes (SMD = 0.449) compared to control groups (Hodkinson et al., 2021; Tang et al., 2020). 
Continuous glucose monitoring (CGM) has shown particularly high effectiveness in diabetes control. A meta-analysis of 15 RCTs (2,461 patients) showed a significant reduction in HbA1c (weighted mean difference: -0.17%, 95% CI -0.29 to -0.06) and an increase in time in range (TIR) of 70.74 minutes (95% CI 46.73-94.76) compared to standard care (Maiorino et al., 2020). 
The main barriers included: problems with measurement accuracy in real-world settings, user fatigue leading to low long-term adherence, protection of health data privacy, and lack of standardization and interoperability between devices and EHR (electronic health record) systems. 
Conclusions: Wearable technologies are becoming an integral part of preventive medicine and chronic disease management. The future lies in blended care models that combine continuous health monitoring with AI predictive algorithms and clinical oversight. 
Long-term RCT studies (≥12 months) and a clear regulatory framework regarding the accuracy of medical devices, data collection ethics, and legal liability must be established before widespread implementation in healthcare systems.","The study design included a scoping review of scientific literature, analyzing seven key meta-analyses and twenty randomized controlled trials (RCTs). The research focused on the prevention of lifestyle diseases, with specific attention to diabetes control and monitoring physical activity. The population studied included patients with diabetes.","Wearable technologies showed moderate to high effectiveness in monitoring health and modifying behaviors. A meta-analysis showed a 1519 steps/day increase (95% CI 1096-1942) and SMD = 0.449 for physical activity. CGM significantly reduced HbA1c by -0.17% (95% CI -0.29 to -0.06) and increased time in range by 70.74 minutes (95% CI 46.73-94.76). Barriers included measurement accuracy problems and user fatigue leading to low long-term adherence.","Main barriers included problems with measurement accuracy in real-world settings, user fatigue leading to low long-term adherence, protection of health data privacy, and lack of standardization and interoperability between devices and EHR systems. Long-term RCT studies (≥12 months) and a clear regulatory framework are needed."
"Wearable devices for remote monitoring of chronic diseases: systematic review","https://scispace.com/paper/fMRbI1fz2bIJ","","","","MD Tegegne
SR Niakan Kalhori
P Haas","","","- **Relevance Score:** 49/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses systematic review to map wearable devices used in chronic disease care; mentions adherence and accuracy issues but lacks primary data; long‑term outcome evidence is minimal.","","This paper is a systematic review focusing on wearable devices for remote monitoring of chronic diseases. It maps wearable devices used in chronic disease care, mentioning issues like adherence and accuracy, but notes minimal evidence for long-term clinical outcomes.","The paper is a systematic review mapping wearable devices for chronic disease care. It mentions adherence and accuracy issues, but lacks primary data. Evidence for long-term health outcomes is minimal. The review notes that current studies primarily focus on device feasibility and acceptability, rather than demonstrated clinical outcomes, and lack long-term device reliability and low power consumption.","The paper notes that research primarily focuses on device technology rather than demonstrated clinical outcomes. Gaps include minimal evidence for long-term health outcomes and issues such as long-term device reliability and low power consumption. It also mentions adherence and accuracy issues with wearable devices."
