"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Revolutionizing Oncology: AI Driven Approaches to Early Cancer Diagnosis","https://scispace.com/paper/revolutionizing-oncology-ai-driven-approaches-to-early-hefk4xurifde","2025","Journal Article","","S. Ranjithkumar
Ujjwal Asati
Saukhyad Mohole
Yash Tripathi","10.1109/icimia67127.2025.11200652","","The early detection of cancer such as ovarian, pancreatic, lung, breast and blood cancers are often left outstanding due to inaccurate traditional methods. This review studies research done to enhance the accuracy of early cancer diagnosis using AI techniques like deep learning, multi-omics data integration, imaging analysis. This report explores case studies based on breast cancer image classification and blood cancer profiling by using integrated genomic data which directly compares traditional cancer detection techniques with AI-driven advanced systems. Early detection and highly improved accuracy are found due to increased specificity and sensitivity thus making the results successful. The study emphasizes multimodal AI approaches for comprehensive analysis which combine a diverse data search. The results demonstrate potential in identifying biomarkers which prove to be an advantage by using the AI technology. These findings make it valuable for healthcare professionals by potentially reducing cancer detection times and increasing accuracy in the procedure in turn potentially reducing diagnostic errors and improving patient outcomes.","This review explores AI-driven approaches for early cancer diagnosis, leveraging deep learning, multi-omics data integration, and imaging analysis to enhance accuracy and specificity, particularly in breast and blood cancers, with promising results for biomarker identification and improved patient outcomes."
"Artificial intelligence in early cancer detection: a paradigm shift in oncology diagnostic","https://scispace.com/paper/artificial-intelligence-in-early-cancer-detection-a-paradigm-5b0j77onhmda","2025","Journal Article","Journal of medical & health sciences review.","Imrana Essa
Memoona
Sheela Davi Malhi
Dileep Kumar Malhi
Taimoor Asghar
Muhammad Zubair Tahir
Sher Muhammad","10.62019/22204z93","","Early detection of cancer is a critical factor in improving survival rates and treatment outcomes. In Pakistan, where diagnostic delays, inadequate screening infrastructure, and shortage of specialized personnel are prevalent, Artificial Intelligence (AI) offers a transformative opportunity for early oncology diagnostics. This study assesses the diagnostic performance and contextual feasibility of AI-based models—particularly machine learning (ML) and deep learning (DL)—in identifying early-stage cancers using imaging modalities such as mammography, CT scans, MRI, and histopathology. A mixed-methods approach was employed, involving retrospective analysis of imaging datasets collected from three leading institutions: Shaukat Khanum Memorial Cancer Hospital &amp; Research Centre (Lahore), Aga Khan University Hospital (Karachi), and Pakistan Institute of Medical Sciences (PIMS, Islamabad). AI models including convolutional neural networks (CNNs) and decision tree classifiers were trained and tested on over 1200 anonymized and annotated imaging samples. Performance was evaluated using key metrics such as sensitivity, specificity, accuracy, and area under the curve (AUC). Additionally, semi-structured interviews with radiologists, oncologists, and medical IT staff at the selected hospitals were conducted to explore infrastructural readiness, ethical considerations, and clinical acceptability of AI integration. Findings revealed that AI-powered diagnostic tools achieved high sensitivity and accuracy in detecting early-stage malignancies, often improving diagnostic speed and reducing observer bias. However, infrastructural disparities, inconsistent digitization of patient records, and the need for physician training were identified as key barriers to implementation. Despite these challenges, healthcare professionals expressed cautious optimism about integrating AI to support Pakistan’s overburdened healthcare system.The study concludes that AI holds significant promise for enhancing early cancer detection in Pakistan. It emphasizes the importance of strategic investments in digital infrastructure, training, and policy frameworks to enable safe, effective, and equitable adoption of AI in oncology. ","This study assesses AI's diagnostic performance and feasibility in early cancer detection in Pakistan, using machine learning and deep learning models on imaging datasets from three leading hospitals, and finds AI-powered tools improve detection accuracy and speed, but face infrastructural and training barriers."
"Artificial intelligence-enhanced multi-modal cancer diagnosis and prognosis: integrating medical imaging, genomic data, and clinical records for precision oncology","https://scispace.com/paper/artificial-intelligence-enhanced-multi-modal-cancer-1d6pcgv4ow54","2025","Journal Article","","EMMANUEL OKWUCHUKWU NDUKAIFE
Maria Nana
ISRAEL JONATHAN IHEOMA
Peter Chika Ozo-ogueji
ESO OGOCHUKWU VERONICA
TOKONI KUNOUN MARSHAL
CONFIDENCE ADIMCHI CHINONYEREM","10.70382/tijbshmr.v09i3.012","https://scispace.compdf/artificial-intelligence-enhanced-multi-modal-cancer-1d6pcgv4ow54.pdf","Multimodal artificial intelligence (AI) methods are now a paradigm-shifting approach for cancer prognosis and diagnosis, allowing the blending of heterogeneous data modalities including histopathology images, radiomics, genomics, and clinical data. In this systematic review, the existing evidence regarding the application, integration methods, and performance measures of multimodal AI models in oncology is compiled. According to the PRISMA 2020 guideline, a wide literature search was performed on Scopus, Web of Science, IEEE Xplore, and PubMed for literature from January 2019 to May 2025. There were 1,280 records found, out of which 50 were found to meet the inclusion criteria and were examined. Data retrieved consisted of study attributes, data types, fusion methods, evaluation measures, and achieved performance. Descriptive synthesis indicated a consistent increase in multimodal AI articles from 2021, with the most prevalent integration strategy being hybrid fusion (42% of research), then late fusion (26%), early fusion (18%), transformer-based models (8%), and graph neural networks (6%). Comparative analysis demonstrated that transformer-based and hybrid models offered the highest mean area under the curve (AUC) and concordance index measures (0.93 and 0.91, and 0.89 and 0.88, respectively). Despite standout performance, heterogeneity of the data set, reproducibility, and limited external validation concerns were widely reported. This review identifies the promise of multimodal AI to improve diagnostic accuracy and prognosis prediction in cancer, with cautionary notes on the necessary standardised datasets, clear reporting, and validation in clinical use for the translation to standard care. ","This systematic review synthesizes 50 studies on multimodal AI models integrating medical imaging, genomic data, and clinical records for cancer diagnosis and prognosis, highlighting hybrid fusion and transformer-based models' superior performance and potential for precision oncology."
"Machine learning integration for early-stage cancer detection using multi-modal imaging analysis","https://scispace.com/paper/machine-learning-integration-for-early-stage-cancer-65d08kft2j2v","2025","Repository","","","10.5281/zenodo.16900345","","Introduction: Early detection of cancer plays a crucial role in improving patient outcomes and survival rates. Traditional diagnostic methods often face challenges in accurately identifying early-stage cancers, leading to delayed treatment and reduced chances of successful intervention. Progress achieved in AI within the past few years, specifically, ML and DL, significantly enhanced the potential to diagnose and predict cancer. This review analyses the use of multi-modal imaging data, genomics, and clinical parameters to employ ML approaches in early cancer diagnosis. Combining machine learning with imaging data derived from various modes has proven to be a viable method for improving the diagnostic accuracy of early cancer detection. This review will look at the current state of machine learning in early-stage cancer diagnosis, emphasizing multi-modal imaging analysis. Materials and Methods: The literature search included several databases which included PubMed, Scopus, Web of Sciences, and Google Scholar. The search keywords were based on areas of interest such as machine learning, multi-modal imaging, early cancer detection, and integration approaches. The search was limited to articles and papers found in peer-reviewed journals, conference proceedings, and preprints of articles on machine learning integration and multi-modal image analysis for early detection of Cancer. Results: The review findings showed that multi-modal imaging data can be integrated successfully using machine learning algorithms, especially deep learning models, for early cancer diagnosis. These models can harmonize data gathered from MRI, CT, and PET and even tap into advanced machine-learning algorithms to increase the rate of cancer detection and staging. Many experiments have shown that deep learning models including CNNs and RNNs can simplify multi-modal imaging features as well as combine clinical and genomic data streams. Moreover, the combination of genomic, clinical, and demographic databases with images improves the performance of these models even more. Discussion: The combination of Artificial Intelligence and multi-modal imaging has the advantage of having a higher sensitivity and specificity of early cancer metastases and allows for specific therapies for each patient as well as biomarkers to be found. However, areas like data quality, standardization, and algorithm interpretability for intricate models should be resolved to promote their use in clinical practice. Conclusion: A combination of multiple imaging data with the help of ML has been found to provide better results in breast cancer, lung cancer, and prostate cancer. Nevertheless, some open problems are still to be solved regarding the data heterogeneity, the scale of the datasets, multi-modal, and the interpretability and generalization of the developed ML models. Additionally, certain technical factors like the security of the data, and possible bias, have to be treated for these approaches to be effectively implemented in clinical settings. As a point of fact, these approaches use the advantages of the different imaging methods and are integrated with other useful information sources for enhancing diagnostic information, which will benefit the patients. ",""
"Machine learning integration for early-stage cancer detection using multi-modal imaging analysis","https://scispace.com/paper/machine-learning-integration-for-early-stage-cancer-4fesytgucyf5","2025","Journal Article","World Journal Of Advanced Research and Reviews","Toochukwu Juliet Mgbole","10.30574/wjarr.2025.25.1.0066","","Introduction: Early detection of cancer plays a crucial role in improving patient outcomes and survival rates. Traditional diagnostic methods often face challenges in accurately identifying early-stage cancers, leading to delayed treatment and reduced chances of successful intervention. Progress achieved in AI within the past few years, specifically, ML and DL, significantly enhanced the potential to diagnose and predict cancer. This review analyses the use of multi-modal imaging data, genomics, and clinical parameters to employ ML approaches in early cancer diagnosis. Combining machine learning with imaging data derived from various modes has proven to be a viable method for improving the diagnostic accuracy of early cancer detection. This review will look at the current state of machine learning in early-stage cancer diagnosis, emphasizing multi-modal imaging analysis. Materials and Methods: The literature search included several databases which included PubMed, Scopus, Web of Sciences, and Google Scholar. The search keywords were based on areas of interest such as machine learning, multi-modal imaging, early cancer detection, and integration approaches. The search was limited to articles and papers found in peer-reviewed journals, conference proceedings, and preprints of articles on machine learning integration and multi-modal image analysis for early detection of Cancer. Results: The review findings showed that multi-modal imaging data can be integrated successfully using machine learning algorithms, especially deep learning models, for early cancer diagnosis. These models can harmonize data gathered from MRI, CT, and PET and even tap into advanced machine-learning algorithms to increase the rate of cancer detection and staging. Many experiments have shown that deep learning models including CNNs and RNNs can simplify multi-modal imaging features as well as combine clinical and genomic data streams. Moreover, the combination of genomic, clinical, and demographic databases with images improves the performance of these models even more. Discussion: The combination of Artificial Intelligence and multi-modal imaging has the advantage of having a higher sensitivity and specificity of early cancer metastases and allows for specific therapies for each patient as well as biomarkers to be found. However, areas like data quality, standardization, and algorithm interpretability for intricate models should be resolved to promote their use in clinical practice. Conclusion: A combination of multiple imaging data with the help of ML has been found to provide better results in breast cancer, lung cancer, and prostate cancer. Nevertheless, some open problems are still to be solved regarding the data heterogeneity, the scale of the datasets, multi-modal, and the interpretability and generalization of the developed ML models. Additionally, certain technical factors like the security of the data, and possible bias, have to be treated for these approaches to be effectively implemented in clinical settings. As a point of fact, these approaches use the advantages of the different imaging methods and are integrated with other useful information sources for enhancing diagnostic information, which will benefit the patients. ","This review integrates machine learning with multi-modal imaging data to enhance early cancer detection, leveraging AI's potential to diagnose and predict cancer, with promising results in breast, lung, and prostate cancer, but addressing data heterogeneity and model interpretability is crucial."
"Deep Learning-Based Computer Vision Models for Early Cancer Detection Using Multimodal Medical Imaging and Radiogenomic Integration Frameworks","https://scispace.com/paper/deep-learning-based-computer-vision-models-for-early-cancer-hf63bw5djvtz","2025","Journal Article","International Journal of Computer Applications Technology and Research","","10.7753/ijcatr1411.1001","https://export.arxiv.org/pdf/2512.00714v1.pdf","Early cancer detection remains one of the most critical challenges in modern healthcare, where delayed diagnosis significantly reduces survival outcomes. Recent advancements in artificial intelligence, particularly deep learning, have enabled transformative progress in medical imaging analysis. Deep learning-based computer vision models, such as convolutional neural networks (CNNs), transformers, and hybrid attention architectures, can automatically extract complex spatial, morphological, and temporal patterns from multimodal imaging data including MRI, CT, PET, mammography, histopathology, and ultrasound. These models surpass traditional radiological assessment by identifying subtle tissue abnormalities and tumor microenvironment variations invisible to the human eye. At a broader scale, the integration of multimodal imaging with radiogenomics linking quantitative imaging features with genomics, transcriptomics, and epigenetic biomarkers has introduced a new paradigm for personalized oncology. This radiogenomic fusion allows the prediction of tumor genotype, immune response, molecular subtypes, and treatment resistance without invasive biopsies.",""
"Advancing Early Disease Detection Using Multimodal Machine Learning Models Integrating Imaging, Genomics, and Clinical Data Sources","https://scispace.com/paper/advancing-early-disease-detection-using-multimodal-machine-b0etsz9mmir3","2025","Journal Article","","Ammara Rafique¹
Umm E Farwa Syeda
Muhammad Ahmed
Ali Khan³
Muhammad Umair Aslam⁴
Afeera Bint-e-Tanveer⁵
Asma Eric⁶","10.61919/hfd85x30","","Background: Early and accurate disease detection is critical for improving patient outcomes, yet conventional diagnostic approaches often rely on isolated data sources, which may provide an incomplete clinical picture. Multimodal machine learning (MML), which integrates diverse data types like medical imaging, genomics, and clinical records, holds promise for a more holistic assessment. However, the comparative performance of these integrated models against standard single-source approaches has not been systematically evaluated. Objective: This systematic review aimed to determine whether MML models for early disease detection yield superior accuracy and diagnostic reliability compared to unimodal models. Methods: A systematic search was conducted in PubMed, Scopus, Web of Science, and the Cochrane Library for studies published between 2019 and 2024. The review included comparative studies that directly evaluated MML models (integrating at least two of: imaging, genomics, clinical data) against unimodal models for disease detection in human patients. Study selection, data extraction, and risk of bias assessment using a modified QUADAS-2 tool were performed in duplicate. Results: Eight studies met the inclusion criteria, encompassing diseases in oncology, neurology, and cardiology. All eight studies reported a statistically significant improvement in detection performance for multimodal models. The most common metrics showed MML models achieving absolute increases in the Area Under the Curve (AUC) of 0.04 to 0.10 over the best unimodal comparator. The greatest performance gains were observed in complex diseases like Alzheimer's and lung cancer. The main limitations were heterogeneity in data fusion techniques and a risk of bias from non-independent model tuning. Conclusion: The consistent findings across diverse clinical domains indicate that integrating multimodal data significantly enhances the accuracy of machine learning models for early disease detection. This evidence supports the paradigm of MML as a superior analytical framework. Future work should focus on standardizing validation practices and demonstrating generalizability in real-world clinical settings to facilitate translation into practice.","This systematic review of 8 studies (2019-2024) found that multimodal machine learning models integrating imaging, genomics, and clinical data significantly improved early disease detection accuracy (AUC increase: 0.04-0.10) in oncology, neurology, and cardiology, outperforming unimodal models."
"Predicting cancer recurrence with ai-enhanced imaging: a review of predictive models and their clinical implications","https://scispace.com/paper/predicting-cancer-recurrence-with-ai-enhanced-imaging-a-2rtzm9q42zjh","2024","Journal Article","","Emmanuel Ediri Umukoro
Franklin Anita Apolile
Ikenna E Odezuligbo
Christian Oyinkuro Kemefa
Oghenerukevwe Fiona Umukoro","10.31219/osf.io/cpheq","https://scispace.compdf/predicting-cancer-recurrence-with-ai-enhanced-imaging-a-2rtzm9q42zjh.pdf","Artificial intelligence (AI) is transforming healthcare by improving the prediction of cancer recurrence, which is critical for guiding timely interventions. However, imbalanced medical datasets present challenges, making it essential to use more than just accuracy as a performance metric. Metrics like sensitivity, specificity, and precision are crucial for evaluating how well models detect recurrences without producing false predictions. A review of existing literature shows AI models increasingly outperform traditional diagnostic methods, especially through the integration of multi-modal data.Accuracy alone may misrepresent a model’s performance, especially with unbalanced datasets where one outcome (recurrence or non-recurrence) dominates. Sensitivity measures a model's ability to identify true recurrences, while specificity focuses on reducing false positives. Precision ensures high-risk predictions are reliable, minimizing unnecessary treatments. Incorporating multi-modal data, such as medical imaging, genomic profiles, and liquid biopsies, further improves diagnostic accuracy. Case studies reveal that AI models integrating these data types show superior sensitivity and specificity, particularly in early detection. Liquid biopsies, for example, enable non-invasive recurrence detection, allowing personalized treatments to be initiated earlier.AI holds immense potential to improve cancer care by enabling earlier and more precise predictions, but certain challenges persist. Issues like ethical concerns, data standardization, and clinical variability need to be addressed to ensure widespread adoption and effectiveness. Ongoing research is essential to refine these models, ensuring their reliability and usability in real-world clinical settings. Properly implemented AI-powered predictive models can significantly enhance patient outcomes by supporting earlier interventions and guiding personalized treatment strategies. ","AI-enhanced imaging improves cancer recurrence prediction, outperforming traditional methods, especially with multi-modal data integration, but challenges persist, including data standardization, clinical variability, and ethical concerns, requiring ongoing research for reliable adoption."
"Improving Early Prostate Cancer Detection Through Artificial Intelligence: Evidence from a Systematic Review","https://scispace.com/paper/improving-early-prostate-cancer-detection-through-artificial-zrvp9wlyxw6d","2025","Journal Article","Cancers","Vincenzo Ciccone
Marina Garofano
Rosaria Del Sorbo
Francesco Negri
Roberta Buonocore
Francesca Salerno
Rosario Gnazzo
Gaetano Ungaro
Alessia Bramanti","10.3390/cancers17213503","","Background: Prostate cancer is one of the most common malignancies in men and a leading cause of cancer-related mortality. Early detection is essential to ensure curative treatment and favorable outcomes, but traditional diagnostic approaches—such as serum prostate-specific antigen (PSA) testing, digital rectal examination (DRE), and histopathological confirmation following biopsy—are limited by suboptimal accuracy and variability. Multiparametric magnetic resonance imaging (mpMRI) has improved diagnostic performance but remains highly dependent on reader expertise. Artificial intelligence (AI) offers promising opportunities to enhance diagnostic accuracy, reproducibility, and efficiency in prostate cancer detection. Objective: To evaluate the diagnostic accuracy and reporting timeliness of AI-based technologies compared with conventional diagnostic methods in the early detection of prostate cancer. Methods: Following PRISMA 2020 guidelines, PubMed, Scopus, Web of Science, and Cochrane Library were searched for studies published between January 2015 and April 2025. Eligible designs included randomized controlled trials, cohort, case–control, and pilot studies applying AI-based technologies to early prostate cancer diagnosis. Data on AUC-ROC, sensitivity, specificity, predictive values, diagnostic odds ratio (DOR), and time-to-reporting were narratively synthesized due to heterogeneity. Risk of bias was assessed using the QUADAS-AI tool. Results: Twenty-three studies involving 23,270 patients were included. AI-based technologies achieved a median AUC-ROC of 0.88 (range 0.70–0.93), with median sensitivity and specificity of 0.86 and 0.83, respectively. Compared with radiologists, AI or AI-assisted readings improved or matched diagnostic accuracy, reduced inter-reader variability, and decreased reporting time by up to 56%. Conclusions: AI-based technologies show strong diagnostic performance in early prostate cancer detection. However, methodological heterogeneity and limited standardization restrict generalizability. Large-scale prospective trials are required to validate clinical integration. ","This systematic review of 23 studies (23,270 patients) finds AI-based technologies achieve high diagnostic accuracy (AUC-ROC: 0.88, sensitivity: 0.86, specificity: 0.83) in early prostate cancer detection, outperforming or matching radiologists in some cases, with potential to reduce reporting time."
"Revolutionizing Cervical Cancer Screening: A Multimodal AI Approach Using Visual, Genomic and Clinical Features","https://scispace.com/paper/revolutionizing-cervical-cancer-screening-a-multimodal-ai-3r02rtt9g4ci","2025","Journal Article","","Sonal Rattan
Chilukamukku Swathi
Balajee Maram
Bhavna Nayyer
M.V.B. Chandrasekhar
S Gill","10.1109/isaect68904.2025.11318777","","This paper suggests a new multimodal artificial intelligence (AI) framework, which combines colposcopic imaging, genomic biomarkers, and structured clinical parameters, in order to enhance early-stage cervical cancer risk stratification. The model uses a unified deep learning network incorporating cross modal attention to extract and merge discriminative features in a cross modal manner. 5,000 records of three global cohorts were utilized, and generalizability was ensured by displaying rigorous preprocessing and 5-fold cross-validation and external validation. The multimodal solution reached up to AUC 0.96 and was significantly better than unimodal. SHAP and Grad-CAM were also applied to provide interpretability and help clinicians trust them and be transparent. Such results confirm that multimodal AI has translational effects to enhance the accuracy of screening, shorten the time to diagnosis, and scale deployment in locations with and without substantial resources. ","A multimodal AI framework combining colposcopic imaging, genomic biomarkers, and clinical parameters achieves up to 96% accuracy in early-stage cervical cancer risk stratification, outperforming unimodal approaches and demonstrating potential for global deployment."
