"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A deep learning-based multimodal medical imaging model for breast cancer screening","https://scispace.com/paper/a-deep-learning-based-multimodal-medical-imaging-model-for-046sfpm4tx4r","2025","Journal Article","Dental science reports","Junwei Chen
Teng Pan
Zhengjie Zhu
Lijue Liu
Ning Zhao
Feng Xue
Weilong Zhang
Yuesong Wu
Cuidan Cai
Xiaojin Luo
Bihai Lin
Xuewei Wang
Qingwen Ye
Rui Gao
Zizhen Zhou
Richard Beatson
Jin Tang
Ruijie Ming
Dan Wang
Jianhua Deng
Guanglin Zhou","10.1038/s41598-025-99535-2","https://www.nature.com/articles/s41598-025-99535-2.pdf","… a deep learning-based multimodal breast cancer screening … for sensitivity, all performance metrics of the multimodal … The lower sensitivity of the multimodal model compared to the …","In existing breast cancer prediction research, most models rely solely on a single type of imaging data, which limits their performance. To overcome this limitation, the present study explores breast cancer prediction models based on multimodal medical images (mammography and ultrasound images) and compares them with single-modal models. We collected medical imaging data from 790 patients, including 2,235 mammography images and 1,348 ultrasound images, and conducted a comparison using six deep learning classification models to identify the best model for constructing the multimodal classification model. Performance was evaluated using metrics such as area under the receiver operating characteristic curve (AUC), sensitivity, specificity, precision, and accuracy to compare the multimodal and single-modal classification models. Experimental results demonstrate that the multimodal classification model outperforms single-modal models in terms of specificity (96.41% (95% CI:93.10%-99.72%)), accuracy (93.78% (95% CI:87.67%-99.89%)), precision (83.66% (95% CI:76.27%-91.05%)), and AUC (0.968 (95% CI:0.947-0.989)), while single-modal models excel in sensitivity. Additionally, heatmap visualization was used to further validate the classification performance of the multimodal model. In conclusion, our multimodal classification model shows strong potential in breast cancer screening tasks, effectively assisting physicians in improving screening accuracy. "
"The role of artificial intelligence in early cancer diagnosis","https://scispace.com/paper/the-role-of-artificial-intelligence-in-early-cancer-1xgt5wzs","2022","Journal Article","Cancers","B. Hunter
Sumeet Hindocha
R. Lee","10.3390/cancers14061524","https://scispace.com/pdf/the-role-of-artificial-intelligence-in-early-cancer-1xgt5wzs.pdf","… months (AUC 0.86). Moreover, it improved upon standard eligibility criteria for lung cancer screening, providing evidence that AI-… In breast cancer imaging, AI can detect mammographic …","Simple Summary Diagnosing cancer at an early stage increases the chance of performing effective treatment in many tumour groups. Key approaches include screening patients who are at risk but have no symptoms, and rapidly and appropriately investigating those who do. Machine learning, whereby computers learn complex data patterns to make predictions, has the potential to revolutionise early cancer diagnosis. Here, we provide an overview of how such algorithms can assist doctors through analyses of routine health records, medical images, biopsy samples and blood tests to improve risk stratification and early diagnosis. Such tools will be increasingly utilised in the coming years. Abstract Improving the proportion of patients diagnosed with early-stage cancer is a key priority of the World Health Organisation. In many tumour groups, screening programmes have led to improvements in survival, but patient selection and risk stratification are key challenges. In addition, there are concerns about limited diagnostic workforces, particularly in light of the COVID-19 pandemic, placing a strain on pathology and radiology services. In this review, we discuss how artificial intelligence algorithms could assist clinicians in (1) screening asymptomatic patients at risk of cancer, (2) investigating and triaging symptomatic patients, and (3) more effectively diagnosing cancer recurrence. We provide an overview of the main artificial intelligence approaches, including historical models such as logistic regression, as well as deep learning and neural networks, and highlight their early diagnosis applications. Many data types are suitable for computational analysis, including electronic healthcare records, diagnostic images, pathology slides and peripheral blood, and we provide examples of how these data can be utilised to diagnose cancer. We also discuss the potential clinical implications for artificial intelligence algorithms, including an overview of models currently used in clinical practice. Finally, we discuss the potential limitations and pitfalls, including ethical concerns, resource demands, data security and reporting standards."
"Artificial intelligence and early detection of breast, lung, and colon cancer: a narrative review","https://scispace.com/paper/artificial-intelligence-and-early-detection-of-breast-lung-9529viu4wuy5","2025","Journal Article","Cureus","Omofolarin Debellotte
Richard L Dookie
Fnu Rinkoo
Akankshya Kar
Juan Felipe Salazar González
Pranav Saraf
Muhammed Aflahe Iqbal
Lilit Ghazaryan
Annie-Cheilla Mukunde
Areeba Khalid
Toluwalase Olumuyiwa","10.7759/cureus.79199","https://www.cureus.com/articles/331340-artificial-intelligence-and-early-detection-of-breast-lung-and-colon-cancer-a-narrative-review.pdf","… AI algorithms are transforming lung cancer screening by increasing the sensitivity and specificity … Compared to 2D imaging, 3D imaging excels at spotting deformities that are difficult to …",""
"Radiomics improves cancer screening and early detection","https://scispace.com/paper/radiomics-improves-cancer-screening-and-early-detection-1pcjzpdk21","2020","Journal Article","Cancer Epidemiology, Biomarkers & Prevention","Robert J. Gillies
Matthew B. Schabath","10.1158/1055-9965.EPI-20-0075","https://aacrjournals.org/cebp/article-pdf/doi/10.1158/1055-9965.EPI-20-0075/1790549/1055-9965_epi-20-0075v1.pdf","… between sensitivity and specificity of the diagnosis at each step. Historically, medical imaging … In all cases of cancer sites, we identify where imaging currently and potentially fits within …","Imaging is a key technology in the early detection of cancers, including X-ray mammography, low-dose CT for lung cancer, or optical imaging for skin, esophageal, or colorectal cancers. Historically, imaging information in early detection schema was assessed qualitatively. However, the last decade has seen increased development of computerized tools that convert images into quantitative mineable data (radiomics), and their subsequent analyses with artificial intelligence (AI). These tools are improving diagnostic accuracy of early lesions to define risk and classify malignant/aggressive from benign/indolent disease. The first section of this review will briefly describe the various imaging modalities and their use as primary or secondary screens in an early detection pipeline. The second section will describe specific use cases to illustrate the breadth of imaging modalities as well as the benefits of quantitative image analytics. These will include optical (skin cancer), X-ray CT (pancreatic and lung cancer), X-ray mammography (breast cancer), multiparametric MRI (breast and prostate cancer), PET (pancreatic cancer), and ultrasound elastography (liver cancer). Finally, we will discuss the inexorable improvements in radiomics to build more robust classifier models and the significant limitations to this development, including access to well-annotated databases, and biological descriptors of the imaged feature data.See all articles in this CEBP Focus section, ""NCI Early Detection Research Network: Making Cancer Detection Possible."""
"Integrating liquid biopsies and artificial intelligence for early cancer detection: A systematic review and meta-analysis","https://scispace.com/paper/fIjVPSwOHskJ","","","","P Filis
G Markozannes
D Salgkamis","","","… These multimodal strategies generally achieved sufficient sensitivity without a corresponding loss in specificity. Overall, the evidence indicates that fragmentation provides the highest …",""
"AI in oncology: transforming cancer detection through machine learning and deep learning applications","https://scispace.com/paper/ai-in-oncology-transforming-cancer-detection-through-machine-3wrd0rjek2t7","2025","Journal Article","","Muhammad Nauman Aftab
Faisal Mehmood
Chengjuan Zhang
Alishba Nadeem
Zigang Dong
Yanan Jiang
Kangdongs Liu","10.48550/arxiv.2501.15489","https://arxiv.org/pdf/2501.15489?","… AI in medical imaging, genomic analysis, and pathology enhances diagnostic precision and introduces a novel, less invasive approach to cancer screening… AI achieved an average AUC …","Artificial intelligence (AI) has potential to revolutionize the field of oncology by enhancing the precision of cancer diagnosis, optimizing treatment strategies, and personalizing therapies for a variety of cancers. This review examines the limitations of conventional diagnostic techniques and explores the transformative role of AI in diagnosing and treating cancers such as lung, breast, colorectal, liver, stomach, esophageal, cervical, thyroid, prostate, and skin cancers. The primary objective of this paper is to highlight the significant advancements that AI algorithms have brought to oncology within the medical industry. By enabling early cancer detection, improving diagnostic accuracy, and facilitating targeted treatment delivery, AI contributes to substantial improvements in patient outcomes. The integration of AI in medical imaging, genomic analysis, and pathology enhances diagnostic precision and introduces a novel, less invasive approach to cancer screening. This not only boosts the effectiveness of medical facilities but also reduces operational costs. The study delves into the application of AI in radiomics for detailed cancer characterization, predictive analytics for identifying associated risks, and the development of algorithm-driven robots for immediate diagnosis. Furthermore, it investigates the impact of AI on addressing healthcare challenges, particularly in underserved and remote regions. The overarching goal of this platform is to support the development of expert recommendations and to provide universal, efficient diagnostic procedures. By reviewing existing research and clinical studies, this paper underscores the pivotal role of AI in improving the overall cancer care system. It emphasizes how AI-enabled systems can enhance clinical decision-making and expand treatment options, thereby underscoring the importance of AI in advancing precision oncology "
"Employing nano-enabled artificial intelligence (AI)-based smart technologies for prediction, screening, and detection of cancer","https://scispace.com/paper/employing-nano-enabled-artificial-intelligence-ai-based-1u51ncjc6l","2024","","Nanoscale","Vibhas Chugh
Adreeja Basu
Ajeet Kaushik
Manshu
Shekhar Bhansali
Aviru Kumar Basu","10.1039/d3nr05648a","","… cancer screening instruments—are also outlined in this article. … imaging technologies with artificial intelligence algorithms. … have the greatest AUC, specificity, sensitivity, and correctness …","Cancer has been classified as a diverse illness with a wide range of subgroups. Its early identification and prognosis, which have become a requirement of cancer research, are essential for clinical treatment. Patients have already benefited greatly from the use of artificial intelligence (AI), machine learning (ML), and deep learning (DL) algorithms in the field of healthcare. AI simulates and combines data, pre-programmed rules, and knowledge to produce predictions. Data are used to improve efficiency across several pursuits and tasks through the art of ML. DL is a larger family of ML methods based on representational learning and simulated neural networks. Support vector machines, convulsion neural networks, and artificial neural networks, among others, have been widely used in cancer research to construct prediction models that enable precise and effective decision-making. Although using these innovative methods can enhance our comprehension of how cancer progresses, further validation is required before these techniques can be used in routine clinical practice. We cover contemporary methods used in the modelling of cancer development in this article. The presented prediction models are built using a variety of guided ML approaches, as well as numerous input attributes and data collections. Early identification and cost-effective detection of cancer's progression are equally necessary for successful treatment of the disease. Smart material-based detection techniques can give end consumers a portable, affordable instrument to easily detect and monitor their health issues without the need for specialized knowledge. Owing to their cost-effectiveness, excellent sensitivity, multimodal detection capacity, and miniaturization aptitude, two-dimensional (2D) materials have a lot of prospects for clinical examination of various compounds as well as cancer biomarkers. The effectiveness of traditional devices is moving faster towards more useful techniques thanks to developments in 2D material-based biosensors/sensors. The most current developments in the design of 2D material-based biosensors/sensors-the next wave of cancer screening instruments-are also outlined in this article."
"Artificial intelligence in lung cancer screening: Detection, classification, prediction, and prognosis","https://scispace.com/paper/artificial-intelligence-in-lung-cancer-screening-detection-8aksja16a4","2024","","Cancer Medicine","Quanyang Wu
Huang Yao
Linlin Qi
Zhang Zewei
Donghui Hou
Hongjia Li
Shijun Zhao","10.1002/cam4.7140","https://onlinelibrary.wiley.com/doi/pdf/10.1002/cam4.7140","… AI in lung cancer screening, including lung segmentation, nodule detection, and classification, and assesses the potential of AI in enhancing the sensitivity … in utilizing AI-based imaging …","Abstract Background The exceptional capabilities of artificial intelligence (AI) in extracting image information and processing complex models have led to its recognition across various medical fields. With the continuous evolution of AI technologies based on deep learning, particularly the advent of convolutional neural networks (CNNs), AI presents an expanded horizon of applications in lung cancer screening, including lung segmentation, nodule detection, false‐positive reduction, nodule classification, and prognosis. Methodology This review initially analyzes the current status of AI technologies. It then explores the applications of AI in lung cancer screening, including lung segmentation, nodule detection, and classification, and assesses the potential of AI in enhancing the sensitivity of nodule detection and reducing false‐positive rates. Finally, it addresses the challenges and future directions of AI in lung cancer screening. Results AI holds substantial prospects in lung cancer screening. It demonstrates significant potential in improving nodule detection sensitivity, reducing false‐positive rates, and classifying nodules, while also showing value in predicting nodule growth and pathological/genetic typing. Conclusions AI offers a promising supportive approach to lung cancer screening, presenting considerable potential in enhancing nodule detection sensitivity, reducing false‐positive rates, and classifying nodules. However, the universality and interpretability of AI results need further enhancement. Future research should focus on the large‐scale validation of new deep learning‐based algorithms and multi‐center studies to improve the efficacy of AI in lung cancer screening."
"The role of artificial intelligence in early cancer detection: Exploring early clinical applications","https://scispace.com/paper/the-role-of-artificial-intelligence-in-early-cancer-4pz1q89c10","2024","Journal Article","","Nikhil G. Thaker
A. P. Dicker
Arturo Loaiza-Bonilla
Africa Wallace
Diana Kolman
Ashlee Godshalk Ruggles
Sudhir Manda
Steven J. Frank
Peter Orio
Cataldo Doria","10.1089/aipo.2023.0011","","… Future AI applications will include integrating multimodal models, interpretable models, and … , achieved an AUC of 0.86, outperforming the PLCO Cancer Screening Trial criteria in …","Introduction: Early cancer detection can lead to improved outcomes and a shift toward a prevention model. This review explores the role of artificial intelligence (AI) in early cancer detection, focusing on its application in various clinical settings. "
"Diagnostic test accuracy of artificial intelligence-based imaging for lung cancer screening: A systematic review and meta-analysis","https://scispace.com/paper/diagnostic-test-accuracy-of-artificial-intelligence-based-klu3yzre","2022","Journal Article","Lung cancer","Lay Teng Thong
Hui Shan Chou
Han Shi Jocelyn Chew
Ying Lau","10.1016/j.lungcan.2022.12.002","","… Twenty-six studies with 150,721 imaging data were included. … pooled sensitivity for AI-based imaging for lung cancer screening was 94.6 % (95 % CI: 91.4 % to 96.7 %) and specificity …","Lung cancer is the principal cause of cancer-related deaths worldwide. Early detection of lung cancer with screening is indispensable to reduce the high morbidity and mortality rates. Artificial intelligence (AI) is widely utilised in healthcare, including in the assessment of medical images. A growing number of reviews studied the application of AI in lung cancer screening, but no overarching meta-analysis has examined the diagnostic test accuracy (DTA) of AI-based imaging for lung cancer screening.To systematically review the DTA of AI-based imaging for lung cancer screening.PubMed, EMBASE, Cochrane Library, CINAHL, IEEE Xplore, Web of Science, ACM Digital Library, Scopus, PsycINFO, and ProQuest Dissertations and Theses were searched from inception to date. Studies that were published in English and that evaluated the performance of AI-based imaging for lung cancer screening were included. Two independent reviewers screened titles and abstracts and used the Quality Assessment of Diagnostic Accuracy Studies-2 tool to appraise the quality of selected studies. Grading of Recommendations Assessment, Development, and Evaluation to diagnostic tests was used to assess the certainty of evidence.Twenty-six studies with 150,721 imaging data were included. Hierarchical summary receiver-operating characteristic model used for meta-analysis demonstrated that the pooled sensitivity for AI-based imaging for lung cancer screening was 94.6 % (95 % CI: 91.4 % to 96.7 %) and specificity was 93.6 % (95 % CI: 88.5 % to 96.6 %). Subgroup analyses revealed that similar results were found among different types of AI, region, data source, and year of publication, but the overall quality of evidence was very low.AI-based imaging could effectively detect lung cancer and be incorporated into lung cancer screening programs. Further high-quality DTA studies on large lung cancer screening populations are required to validate AI's role in early lung cancer detection. "
