"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"AI-Guided Remission: Protocol for a Conversational Agent (Chatbot) for Dosing Activity and Footwear Progression After Diabetic Limb Reconstruction.","https://scispace.com/paper/42076408","2026","Journal Article","Sensors (Basel, Switzerland)","Feraru
Klonoff
Najafi
Antoszewska
Armstrong","10.3390/s26082299","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13120288/pdf","Diabetic foot ulcers recur frequently after healing. The first three months carry the highest risk. Remission is a vulnerable phase that demands precise self-care and timely feedback. Evidence supports thermometry and protective footwear with gradual return to activity, yet adherence at home is inconsistent."
"Digital Solutions for the Control of Lifestyle Parameters in Individuals With High Cardiometabolic Risk: a Scoping Review.","https://scispace.com/paper/42115518","2026","Journal Article","Current nutrition reports","Mayol
Tecce
Amatrudo
Russo
Aprano
De Luca
Iaccarino
Illario
Colao
Moscatelli
Vetrani","10.1007/s13668-026-00764-2","","Digital technologies are increasingly used to promote healthier behaviors and prevent noncommunicable diseases (NCDs). Diet and physical activity are key determinants of cardiometabolic health, where digital tools can support self-monitoring and behavior change."
"Artificial intelligence and big data applications in chronic disease management: clinical outcomes, challenges, and future directions.","https://scispace.com/paper/42047049","2026","Journal Article","Medicinski glasnik : official publication of the Medical Association of Zenica-Doboj Canton, Bosnia and Herzegovina","Abu-Qbeitah
Ahmad","10.17392/2061-23-01","","To synthesize applications of Artificial Intelligence (AI) and big data in chronic disease management, evaluate clinical and economic outcomes, challenges, and future directions."
"Effectiveness of telemedicine-based rehabilitation after stroke: a systematic review.","https://scispace.com/paper/42171799","2026","Journal Article","Journal of neurology","BaniHani
Esmail
Ibrahim
Ghozy
Keser
Esterov
Kadirvel
Nasr","10.1007/s00415-026-13871-5","","Access to timely post-acute stroke rehabilitation remains inconsistent, contributing to persistent disability despite advances in acute stroke care. Telemedicine has been proposed as a strategy to improve continuity and access to rehabilitation services, but its effectiveness across functional domains remains incompletely defined."
"Artificial Intelligence for Early Detection and Prediction of Chronic Obstructive Pulmonary Disease Exacerbations.","https://scispace.com/paper/41897259","2026","Journal Article","Healthcare (Basel, Switzerland)","Boyce
Prybutok","10.3390/healthcare14060806","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13026585/pdf","Exacerbations of chronic obstructive pulmonary disease (COPD) are a leading cause of morbidity, mortality, and healthcare burden worldwide. Early detection and timely intervention remain important challenges in COPD management, given the unpredictable nature of acute deterioration and limitations of traditional spirometry-based risk assessment."
"Innovative Applications and Challenges of Artificial Intelligence in the Whole-Course Management of Chronic Obstructive Pulmonary Disease.","https://scispace.com/paper/41859017","2026","Journal Article","International journal of chronic obstructive pulmonary disease","Chen
Xing
Zhang
Qiu","10.2147/COPD.S568919","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12998308/pdf","To systematically map how artificial intelligence (AI) can transform whole-course chronic obstructive pulmonary disease (COPD) management across prevention, diagnosis, treatment and rehabilitation within a 4P (Predictive, Preventive, Personalized, Participatory) medicine framework, and to identify actionable strategies for overcoming current barriers."
"Leveraging ICT Tools to Improve Kidney Health: A Comprehensive Review of Innovations in Nephrology.","https://scispace.com/paper/41897238","2026","Journal Article","Healthcare (Basel, Switzerland)","Mata-Lima
Serrano-Olmedo
Paquete","10.3390/healthcare14060785","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13026592/pdf",""
"The BREATH-TRACHER 2 Trial: Protocol for a Retrospective Mixed Methods Study to Establish the Utility of a Wearable Device in the Detection of Chronic Obstructive Pulmonary Disease Exacerbations.","https://scispace.com/paper/41442677","2025","Journal Article","JMIR research protocols","Toprak
Hamilton
Kolukisa Birgec
Mullen","10.2196/79503","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12736667/pdf","Acute exacerbations of chronic obstructive pulmonary disease (eCOPD) are a major clinical challenge, often leading to frequent emergency room visits and significantly reducing patients' quality of life. Early detection through wearable devices could facilitate timely interventions at the community level, reducing hospital admissions and disease-related morbidity and mortality."
"Self-Reported Acceptance of a Wearable Activity Monitor in Persons With Stroke: Usability Study.","https://scispace.com/paper/41435388","2025","Journal Article","JMIR cardio","Nam
Bellinger
Li
French
T Roemmich","10.2196/70007","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12726820/pdf","Wearable activity monitors offer clinicians and researchers accessible, scalable, and cost-effective tools for continuous remote monitoring of functional status. These technologies can complement traditional clinical outcome measures by providing detailed, minute-by-minute, remotely collected data on a wide array of biometrics, including physical activity and heart rate. There is significant potential for the use of these devices in rehabilitation after stroke if individuals will wear and use the devices; however, the acceptance of these devices by persons with stroke is not well understood."
"Musculoskeletal Digital Therapeutics and Digital Health Rehabilitation: A Global Paradigm Shift in Orthopedic Care.","https://scispace.com/paper/41375770","2025","Journal Article","Journal of clinical medicine","Lee
Yoon
Kim
Kim
Kim","10.3390/jcm14238467","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12693369/pdf","Musculoskeletal disorders (MSDs) affect over 1.7 billion people globally and represent the leading cause of disability worldwide. Conventional rehabilitation strategies face challenges including limited accessibility, suboptimal adherence, and lack of personalization. Digital therapeutics (DTx)-evidence-based, software-driven interventions regulated as medical devices-have emerged as transformative solutions in chronic disease management. This review provides a narrative synthesis of representative studies in the field, drawing on a broad survey of literature from medical and engineering sources to capture current trends and clinically relevant developments. Seventy-five publications were examined, including clinical trials and validation studies, many of which reported outcomes comparable or superior to traditional rehabilitation approaches, with adherence gains of 15-40% and cost reductions of approximately 30-40%. We summarize the major technological foundations of musculoskeletal DTx and digital rehabilitation across orthopedic subspecialties, describing core-enabling technologies including artificial intelligence-driven motion analysis, wearable sensors, tele-rehabilitation platforms, and cloud-based ecosystems. Clinical applications spanning spine, upper and lower extremities, sports injuries, and trauma were analyzed alongside global regulatory frameworks, economic considerations, and implementation challenges. Early clinical evidence demonstrates improvements in functional outcomes, adherence, and cost-effectiveness. Future directions include digital twin-based precision rehabilitation, predictive analytics, and scalable integration into value-based orthopedic care. By establishing a comprehensive framework for musculoskeletal DTx implementation, this review highlights their potential to improve outcomes, reduce healthcare costs, and address global rehabilitation access gaps. However, evidence on long-term effectiveness, sustained cost benefits, and large-scale clinical integration remains limited and warrants further investigation."
