"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Decoding Spectral Perturbations from a SERS Artificial Nose in Serum for Early Lung Cancer Detection.","https://scispace.com/paper/42289861","2026","Journal Article","Analytical chemistry","Peng
Li
Liu
Cai
Zhang","10.1021/acs.analchem.6c00680","","Serum biomarkers for early cancer detection often suffer from limited sensitivity and specificity due to the biochemical complexity of blood. Here, we report a surface-enhanced Raman scattering (SERS) artificial nose that integrates a set of chemically distinct molecular receptors to generate multidimensional spectral responses to human serum. These receptors exhibit large Raman cross sections and well-defined vibrational signatures, enabling high signal-to-noise readouts and subtle yet reproducible spectral perturbations upon exposure to serum components. By applying machine-learning analysis to the resulting multivariate Raman patterns, we extract a diagnostic molecular fingerprint capable of distinguishing early-stage non-small-cell lung cancer (NSCLC) from controls. Using an optimized multireceptor array, the model achieves 100% sensitivity at 98% specificity, markedly outperforming conventional serological biomarkers and imaging-based screening approaches. This work establishes a chemically tunable SERS artificial nose as a powerful strategy for serum-based cancer detection and highlights the potential of multiplexed, receptor-driven sensing for disease-associated metabolic phenotyping."
"Artificial Intelligence Detection Scores in Screening Mammography for Early Breast Cancer Alerts.","https://scispace.com/paper/42262245","2026","Journal Article","Radiology","Hickman
Gialias
Schurz
Cossío
Choi
Tsirikoglou
Gustafsson
Zackrisson
Strand","10.1148/radiol.251309","","Background Artificial intelligence (AI)-based computer-aided detection (CAD) systems have demonstrated clinically significant performance in mammographic screening in both retrospective and prospective studies. However, the role of AI in early cancer detection requires further evaluation. Purpose To demonstrate how AI scores in individuals diagnosed with breast cancer may increase up to 10 years before their diagnosis, compared with individuals who remain cancer-free. Materials and Methods A retrospective study using the Validation of Artificial Intelligence for Breast Imaging (VAI-B) database, covering four regions in Sweden from January 2008 to April 2019, was carried out. For each individual, all mammographic examinations were included (maximum of 10 years before diagnosis in those who developed cancer). Upsampling was performed to provide a representative 1% cancer proportion. Three commercial AI CAD systems (AI-1, AI-2, and AI-3) provided raw examination-level AI scores, which were converted to rank-order percentile AI scores. Temporal changes in AI scores were analyzed, and receiver operating characteristic curve analyses were conducted. Results A total of 31 394 individuals (with 88 963 examinations) were included, of whom 12 072 (38.5%) were diagnosed with cancer. The median age at screening was 57.6 years (IQR, 48.9-65.2 years). At 90% specificity, the proportion of cancers potentially flagged by AI-1, AI-2, and AI-3 was 12.7%, 13.8%, and 17.0%, respectively, at 10 years before diagnosis; 19.0%, 19.6%, and 19.7%, respectively, at 6 years before diagnosis; and 24.2%, 23.3%, and 25.2%, respectively, at 4 years before diagnosis. For all time points combined, excluding screen detection, the area under the receiver operating characteristic curve (AUC) ranged from 0.63 to 0.67 for the three AI CAD systems, compared with an AUC of 0.57 for mammographic density as the predictor (all "
"ROI-guided virtual narrow band imaging for laryngeal cancer screening.","https://scispace.com/paper/42256307","2026","Journal Article","iScience","Huang
Zhu
Zhao
Li
Wang
Luo
Zhen
Zhang
Wang
Zhang
Liu
Zhang
Liu
Ni","10.1016/j.isci.2026.116161","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13233563/pdf","White light laryngoscopy is widely available but can miss subtle vascular changes associated with early laryngeal neoplasia. We developed a region-of-interest (ROI)-guided cycle-consistent generative adversarial network (CycleGAN) that translates white light imaging (WLI) images into virtual narrow band imaging (NBI) images, while emphasizing expert-annotated lesion regions. The framework was trained and evaluated on 775 weakly paired WLI-NBI image pairs and assessed with technical image quality metrics, subjective reader scoring, a visual Turing test, and a multi-center reader study involving 12 otolaryngologists from nine institutions. The model preserved lesion-region structure better than global background structure and improved overall reader accuracy compared with WLI alone (81.5% versus 73.4%). Assistance mainly increased sensitivity for junior readers and specificity for senior readers. These findings support virtual NBI as a potential software-based adjunct where optical NBI is unavailable, while requiring further external and small-lesion validation."
"Development of a machine learning predictive model for early detection of breast cancer.","https://scispace.com/paper/42253458","2025","Journal Article","F1000Research","Rahman
Saha
Dkhar
Malli
Barnes Abraham","10.12688/f1000research.161073.5","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13234550/pdf","Breast cancer remains a significant global health concern, with over 7.8 million cases reported in the last five years. Early detection and accurate classification are crucial for reducing mortality rates and improving outcomes. Machine learning (ML) has emerged as a transformative tool in medical imaging, enabling more efficient and accurate diagnostic processes."
"Management of suspicious nodules in lung cancer screening - a narrative review of monitoring strategies based on nodule features and further needs.","https://scispace.com/paper/42318481","2026","Journal Article","Frontiers in oncology","Anghel
Moga
Folea
Zgură
Şerbănescu
Toma
Marinescu
Şerban
Bîlteanu","10.3389/fonc.2026.1744385","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13272302/pdf","Low-dose computed tomography screening plays a pivotal role in early lung cancer detection. This narrative review aims to evaluate nodule characteristics, especially volume doubling time (VDT), and their relevance to lung cancer suspicion, staging, and clinical outcomes, to support more accurate risk stratification in screening programs for lung cancer."
"Efficacy of Spectral-Aided Visual Enhancer in Classification of Esophageal Cancer.","https://scispace.com/paper/42192971","2026","Journal Article","Cancers","Koh
Mukundan
Karmakar
Atulbhai
Chen
Weng
Wang","10.3390/cancers18101609","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13204065/pdf",""
"OMAMA-DB: the Oregon-Massachusetts Mammography Database.","https://scispace.com/paper/42205157","2026","Journal Article","Journal of medical imaging (Bellingham, Wash.)","Kanamarlapudi
Zurrin
Gaibor
Gutierrez
Goyal
Narayanapa
Simovici
Haspel
Pomplun
Lee
Bandler
Sorensen
Haehn","10.1117/1.JMI.13.6.062205","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13210887/pdf","Public datasets for training artificial intelligence (AI) models in breast cancer screening are limited in size and quality, making it difficult to develop reliable systems. We introduce OMAMA-DB, an extensive publicly available collection of two-dimensional (2D) mammograms and three-dimensional (3D) tomosynthesis volumes."
"Interpretable multi-center machine learning model driven by facial image features for non-invasive early risk assessment of lung cancer.","https://scispace.com/paper/42222284","2026","Journal Article","Frontiers in physiology","Shi
Chun
Zhang
Xu
Chen
Jiao
Wang
Tu
Xu","10.3389/fphys.2026.1835790","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13218986/pdf","Early identification of lung cancer is critical for improving patient survival and prognosis. Conventional pathological biopsy is invasive, and computed tomography (CT) involves ionizing radiation risks. Facial imaging, as a non-invasive and accessible biological signal, is a promising novel approach for lung cancer auxiliary diagnosis."
"Liquid Biopsy in Modern Oncology: Advances, Challenges, and Future Perspectives in Early Cancer Detection, Minimal Residual Disease, and Dynamic Patient Monitoring.","https://scispace.com/paper/42176138","2026","Journal Article","Current oncology reports","Rojas-Salazar
Gómez-Montañez
Rojas-Salazar","10.1007/s11912-026-01799-y","","Liquid biopsy has emerged as a minimally invasive approach to overcome the limitations of tissue biopsy in oncology. This review aims to synthesize recent advances in its clinical applications, particularly in early cancer detection, therapeutic monitoring, and minimal residual disease (MRD), while discussing current challenges, regulatory perspectives, and future directions."
"Use of Artificial Intelligence in prostate MRI: A rapid scoping review highlighting limited evidence in screening context.","https://scispace.com/paper/42142521","2026","Journal Article","European journal of radiology","Singh
Salazar Gutiérrez
Rouviere
Giganti
Otero-García
van den Bergh
Roobol
Venderbos
Collen
van Poppel
Basu
Chandran","10.1016/j.ejrad.2026.112930","","Artificial Intelligence (AI) is seen as a potential solution to alleviate workforce demands arising from growing use of magnetic resonance imaging (MRI) in prostate cancer (PCa) screening. We aimed to synthesize the evidence on use of AI in prostate MRI readings in asymptomatic men in PCa screening settings."
